study_accession	paper_short_title	n_isolates	fold	seed	ena_total_samples	ena_total_runs	ena_taxon_samples	n_child_studies	umbrella_suspected	by_scientific_name	fetch_status
PRJEB40571		27	tail25_49		27		27				proxy_rowcount
PRJNA436373		27	tail25_49		27		27				proxy_rowcount
PRJNA504784		26	tail25_49		26		26				proxy_rowcount
PRJNA488268		26	tail25_49		26		26				proxy_rowcount
PRJEB54568		26	tail25_49		26		26				proxy_rowcount
PRJNA292902		26	tail25_49		26		26				proxy_rowcount
PRJEB47075		26	tail25_49		26		26				proxy_rowcount
PRJNA754858		26	tail25_49		26		26				proxy_rowcount
PRJDB16665		26	tail25_49		26		26				proxy_rowcount
PRJNA718275		26	tail25_49		26		26				proxy_rowcount
PRJNA641166		25	tail25_49		25		25				proxy_rowcount
PRJNA790644		25	tail25_49		25		25				proxy_rowcount
PRJNA890192		25	tail25_49		25		25				proxy_rowcount
PRJNA667192		25	tail25_49		25		25				proxy_rowcount
PRJEB9147		25	tail25_49		25		25				proxy_rowcount
PRJEB14100		25	tail25_49		25		25				proxy_rowcount
PRJNA413541		25	tail25_49		25		25				proxy_rowcount
PRJNA728968		25	tail25_49		25		25				proxy_rowcount
PRJEB64775		25	tail25_49		25		25				proxy_rowcount
PRJNA744889		25	tail25_49		25		25				proxy_rowcount
PRJNA858823		25	tail25_49		25		25				proxy_rowcount
PRJNA473419		25	tail25_49		25		25				proxy_rowcount
