study_accession	field	n_records	structured_nonnull_frac	verdict
PRJNA1019825	smoking_status	1	0.0	needs_paper
PRJNA1019825	ast	1	0.0	needs_paper
PRJNA1036625	country	219	1.0	answered_by_data
PRJNA1036625	collection_date	219	0.909	answered_by_data
PRJNA1036625	isolation_source	219	0.918	answered_by_data
PRJNA1036625	host	219	1.0	answered_by_data
PRJNA1036625	cf_status	219	0.0	needs_paper
PRJNA1036625	smoking_status	219	0.0	needs_paper
PRJNA1036625	ast	219	0.0	needs_paper
PRJNA1040155	country	8	1.0	answered_by_data
PRJNA1040155	collection_date	8	1.0	answered_by_data
PRJNA1040155	isolation_source	8	0.0	needs_paper
PRJNA1040155	host	8	0.0	needs_paper
PRJNA1040155	cf_status	8	0.0	needs_paper
PRJNA1040155	smoking_status	8	0.0	needs_paper
PRJNA1040155	ast	8	0.0	needs_paper
PRJNA1051626	country	31	1.0	answered_by_data
PRJNA1051626	collection_date	31	1.0	answered_by_data
PRJNA1051626	isolation_source	31	1.0	answered_by_data
PRJNA1051626	host	31	1.0	answered_by_data
PRJNA1051626	cf_status	31	0.0	needs_paper
PRJNA1051626	smoking_status	31	0.0	needs_paper
PRJNA1051626	ast	31	0.0	needs_paper
PRJNA1080355	country	32	1.0	answered_by_data
PRJNA1080355	collection_date	32	1.0	answered_by_data
PRJNA1080355	isolation_source	32	0.031	needs_paper
PRJNA1080355	host	32	0.031	needs_paper
PRJNA1080355	cf_status	32	0.0	needs_paper
PRJNA1080355	smoking_status	32	0.0	needs_paper
PRJNA1080355	ast	32	0.0	needs_paper
PRJNA1119444	country	68	1.0	answered_by_data
PRJNA1119444	collection_date	68	1.0	answered_by_data
PRJNA1119444	isolation_source	68	1.0	answered_by_data
PRJNA1119444	host	68	1.0	answered_by_data
PRJNA1119444	cf_status	68	0.0	needs_paper
PRJNA1119444	smoking_status	68	0.0	needs_paper
PRJNA1119444	ast	68	0.0	needs_paper
PRJNA1123827	country	43	1.0	answered_by_data
PRJNA1123827	collection_date	43	1.0	answered_by_data
PRJNA1123827	isolation_source	43	1.0	answered_by_data
PRJNA1123827	host	43	1.0	answered_by_data
PRJNA1123827	cf_status	43	0.0	needs_paper
PRJNA1123827	smoking_status	43	0.0	needs_paper
PRJNA1123827	ast	43	0.0	needs_paper
PRJNA1133902	country	2	1.0	answered_by_data
PRJNA1133902	collection_date	2	1.0	answered_by_data
PRJNA1133902	isolation_source	2	1.0	answered_by_data
PRJNA1133902	host	2	1.0	answered_by_data
PRJNA1133902	cf_status	2	0.0	needs_paper
