study_accession	sample_accession	field	ena_value	applied_value	method	evidence
PRJEB21605	SAMEA104208354	country		Laos	per_sample	PRJEB21605.csv:ERS1867372
PRJEB21605	SAMEA104208356	country		Laos	per_sample	PRJEB21605.csv:ERS1867374
PRJEB21605	SAMEA104208357	country		Laos	per_sample	PRJEB21605.csv:ERS1867375
PRJEB21605	SAMEA104208358	country		Laos	per_sample	PRJEB21605.csv:ERS1867376
PRJEB21605	SAMEA104208359	country		Laos	per_sample	PRJEB21605.csv:ERS1867377
PRJEB21605	SAMEA104208360	country		Laos	per_sample	PRJEB21605.csv:ERS1867378
PRJEB21605	SAMEA104208361	country		Laos	per_sample	PRJEB21605.csv:ERS1867379
PRJEB21605	SAMEA104208362	country		Laos	per_sample	PRJEB21605.csv:ERS1867380
PRJEB21605	SAMEA104208363	country		Laos	per_sample	PRJEB21605.csv:ERS1867381
PRJEB21605	SAMEA104208364	country		Laos	per_sample	PRJEB21605.csv:ERS1867382
PRJEB21605	SAMEA104208365	country		Laos	per_sample	PRJEB21605.csv:ERS1867383
PRJEB21605	SAMEA104208366	country		Laos	per_sample	PRJEB21605.csv:ERS1867384
PRJEB21605	SAMEA104208367	country		Laos	per_sample	PRJEB21605.csv:ERS1867385
PRJEB21605	SAMEA104208368	country		Laos	per_sample	PRJEB21605.csv:ERS1867386
PRJEB21605	SAMEA104208369	country		Laos	per_sample	PRJEB21605.csv:ERS1867387
PRJEB21605	SAMEA104208370	country		Laos	per_sample	PRJEB21605.csv:ERS1867388
PRJEB21605	SAMEA104208371	country		Laos	per_sample	PRJEB21605.csv:ERS1867389
PRJEB21605	SAMEA104208372	country		Laos	per_sample	PRJEB21605.csv:ERS1867390
PRJEB21605	SAMEA104208373	country		Laos	per_sample	PRJEB21605.csv:ERS1867391
PRJEB21605	SAMEA104208374	country		Laos	per_sample	PRJEB21605.csv:ERS1867392
PRJEB21605	SAMEA104208375	country		Laos	per_sample	PRJEB21605.csv:ERS1867393
PRJEB21605	SAMEA104208376	country		Laos	per_sample	PRJEB21605.csv:ERS1867394
PRJEB21605	SAMEA104208377	country		Laos	per_sample	PRJEB21605.csv:ERS1867395
PRJEB21605	SAMEA104208378	country		Laos	per_sample	PRJEB21605.csv:ERS1867396
PRJEB21605	SAMEA104208380	country		Laos	per_sample	PRJEB21605.csv:ERS1867398
PRJEB21605	SAMEA104208381	country		Laos	per_sample	PRJEB21605.csv:ERS1867399
PRJEB21605	SAMEA104208382	country		Laos	per_sample	PRJEB21605.csv:ERS1867400
PRJEB21605	SAMEA104208383	country		Laos	per_sample	PRJEB21605.csv:ERS1867401
PRJEB21605	SAMEA104208384	country		Laos	per_sample	PRJEB21605.csv:ERS1867402
PRJEB21605	SAMEA104208385	country		Laos	per_sample	PRJEB21605.csv:ERS1867403
PRJEB21605	SAMEA104208386	country		Laos	per_sample	PRJEB21605.csv:ERS1867404
PRJEB21605	SAMEA104208387	country		Laos	per_sample	PRJEB21605.csv:ERS1867405
PRJEB21605	SAMEA104208388	country		Laos	per_sample	PRJEB21605.csv:ERS1867406
PRJEB21605	SAMEA104208389	country		Laos	per_sample	PRJEB21605.csv:ERS1867407
PRJEB21605	SAMEA104208390	country		Laos	per_sample	PRJEB21605.csv:ERS1867408
PRJEB21605	SAMEA104208391	country		Laos	per_sample	PRJEB21605.csv:ERS1867409
PRJEB21605	SAMEA104208392	country		Laos	per_sample	PRJEB21605.csv:ERS1867410
PRJEB21605	SAMEA104208393	country		Laos	per_sample	PRJEB21605.csv:ERS1867411
PRJEB21605	SAMEA104208394	country		Laos	per_sample	PRJEB21605.csv:ERS1867412
PRJEB21605	SAMEA104208395	country		Laos	per_sample	PRJEB21605.csv:ERS1867413
PRJEB21605	SAMEA104208396	country		Laos	per_sample	PRJEB21605.csv:ERS1867414
PRJEB21605	SAMEA104208397	country		Laos	per_sample	PRJEB21605.csv:ERS1867415
PRJEB21605	SAMEA104208398	country		Laos	per_sample	PRJEB21605.csv:ERS1867416
PRJEB21605	SAMEA104208399	country		Laos	per_sample	PRJEB21605.csv:ERS1867417
PRJEB21605	SAMEA104208400	country		Laos	per_sample	PRJEB21605.csv:ERS1867418
PRJEB21605	SAMEA104208401	country		Laos	per_sample	PRJEB21605.csv:ERS1867419
PRJEB21605	SAMEA104208402	country		Laos	per_sample	PRJEB21605.csv:ERS1867420
PRJEB21605	SAMEA104208403	country		Laos	per_sample	PRJEB21605.csv:ERS1867421
PRJEB21605	SAMEA104208404	country		Laos	per_sample	PRJEB21605.csv:ERS1867422
PRJEB21605	SAMEA104208405	country		Laos	per_sample	PRJEB21605.csv:ERS1867423
PRJEB21605	SAMEA104208406	country		Laos	per_sample	PRJEB21605.csv:ERS1867424
PRJEB21605	SAMEA104208407	country		Laos	per_sample	PRJEB21605.csv:ERS1867425
PRJEB21605	SAMEA104208408	country		Laos	per_sample	PRJEB21605.csv:ERS1867426
PRJEB21605	SAMEA104208409	country		Laos	per_sample	PRJEB21605.csv:ERS1867427
PRJEB21605	SAMEA104208410	country		Laos	per_sample	PRJEB21605.csv:ERS1867428
PRJEB21605	SAMEA104208411	country		Laos	per_sample	PRJEB21605.csv:ERS1867429
PRJEB21605	SAMEA104208412	country		Laos	per_sample	PRJEB21605.csv:ERS1867430
PRJEB21605	SAMEA104208413	country		Laos	per_sample	PRJEB21605.csv:ERS1867431
PRJEB21605	SAMEA104208414	country		Laos	per_sample	PRJEB21605.csv:ERS1867432
PRJEB21605	SAMEA104208415	country		Laos	per_sample	PRJEB21605.csv:ERS1867433
PRJEB21605	SAMEA104208416	country		Laos	per_sample	PRJEB21605.csv:ERS1867434
PRJEB21605	SAMEA104208417	country		Laos	per_sample	PRJEB21605.csv:ERS1867435
PRJEB21605	SAMEA104208418	country		Laos	per_sample	PRJEB21605.csv:ERS1867436
PRJEB21605	SAMEA104208419	country		Laos	per_sample	PRJEB21605.csv:ERS1867437
PRJEB21605	SAMEA104208420	country		Laos	per_sample	PRJEB21605.csv:ERS1867438
PRJEB21605	SAMEA104208421	country		Laos	per_sample	PRJEB21605.csv:ERS1867439
PRJEB21605	SAMEA104208422	country		Hong Kong	per_sample	PRJEB21605.csv:ERS1867440
PRJEB21605	SAMEA104208423	country		Hong Kong	per_sample	PRJEB21605.csv:ERS1867441
PRJEB21605	SAMEA104208424	country		Hong Kong	per_sample	PRJEB21605.csv:ERS1867442
PRJEB21605	SAMEA104208425	country		Hong Kong	per_sample	PRJEB21605.csv:ERS1867443
PRJEB21605	SAMEA104208426	country		Hong Kong	per_sample	PRJEB21605.csv:ERS1867444
PRJEB21605	SAMEA104208427	country		Hong Kong	per_sample	PRJEB21605.csv:ERS1867445
PRJEB21605	SAMEA104208428	country		Hong Kong	per_sample	PRJEB21605.csv:ERS1867446
PRJEB21605	SAMEA104208429	country		Hong Kong	per_sample	PRJEB21605.csv:ERS1867447
PRJEB21605	SAMEA104208430	country		Hong Kong	per_sample	PRJEB21605.csv:ERS1867448
PRJEB21605	SAMEA104208431	country		Hong Kong	per_sample	PRJEB21605.csv:ERS1867449
PRJEB21605	SAMEA104208432	country		Hong Kong	per_sample	PRJEB21605.csv:ERS1867450
PRJEB21605	SAMEA104208433	country		Hong Kong	per_sample	PRJEB21605.csv:ERS1867451
PRJEB21605	SAMEA104208434	country		Hong Kong	per_sample	PRJEB21605.csv:ERS1867452
PRJEB21605	SAMEA104208435	country		Hong Kong	per_sample	PRJEB21605.csv:ERS1867453
PRJEB21605	SAMEA104208436	country		Hong Kong	per_sample	PRJEB21605.csv:ERS1867454
PRJEB21605	SAMEA104208437	country		Hong Kong	per_sample	PRJEB21605.csv:ERS1867455
PRJEB21605	SAMEA104208438	country		Hong Kong	per_sample	PRJEB21605.csv:ERS1867456
PRJEB21605	SAMEA104208439	country		Hong Kong	per_sample	PRJEB21605.csv:ERS1867457
PRJEB21605	SAMEA104208440	country		Hong Kong	per_sample	PRJEB21605.csv:ERS1867458
PRJEB21605	SAMEA104208441	country		Hong Kong	per_sample	PRJEB21605.csv:ERS1867459
PRJEB21605	SAMEA104208442	country		Hong Kong	per_sample	PRJEB21605.csv:ERS1867460
PRJEB21605	SAMEA104208443	country		Hong Kong	per_sample	PRJEB21605.csv:ERS1867461
PRJEB21605	SAMEA104208444	country		Hong Kong	per_sample	PRJEB21605.csv:ERS1867462
PRJEB21605	SAMEA104208445	country		Hong Kong	per_sample	PRJEB21605.csv:ERS1867463
PRJEB21605	SAMEA104208446	country		Hong Kong	per_sample	PRJEB21605.csv:ERS1867464
PRJEB21605	SAMEA104208295	collection_date		2016	per_sample	PRJEB21605.csv:ERS1867313
PRJEB21605	SAMEA104208296	collection_date		2016	per_sample	PRJEB21605.csv:ERS1867314
PRJEB21605	SAMEA104208297	collection_date		2016	per_sample	PRJEB21605.csv:ERS1867315
PRJEB21605	SAMEA104208298	collection_date		2014	per_sample	PRJEB21605.csv:ERS1867316
PRJEB21605	SAMEA104208299	collection_date		2016	per_sample	PRJEB21605.csv:ERS1867317
PRJEB21605	SAMEA104208300	collection_date		2014	per_sample	PRJEB21605.csv:ERS1867318
PRJEB21605	SAMEA104208301	collection_date		2014	per_sample	PRJEB21605.csv:ERS1867319
PRJEB21605	SAMEA104208302	collection_date		2014	per_sample	PRJEB21605.csv:ERS1867320
PRJEB21605	SAMEA104208303	collection_date		2014	per_sample	PRJEB21605.csv:ERS1867321
PRJEB21605	SAMEA104208304	collection_date		2014	per_sample	PRJEB21605.csv:ERS1867322
PRJEB21605	SAMEA104208305	collection_date		2014	per_sample	PRJEB21605.csv:ERS1867323
PRJEB21605	SAMEA104208306	collection_date		2014	per_sample	PRJEB21605.csv:ERS1867324
PRJEB21605	SAMEA104208307	collection_date		2014	per_sample	PRJEB21605.csv:ERS1867325
PRJEB21605	SAMEA104208308	collection_date		2014	per_sample	PRJEB21605.csv:ERS1867326
PRJEB21605	SAMEA104208309	collection_date		2014	per_sample	PRJEB21605.csv:ERS1867327
PRJEB21605	SAMEA104208310	collection_date		2014	per_sample	PRJEB21605.csv:ERS1867328
PRJEB21605	SAMEA104208311	collection_date		2014	per_sample	PRJEB21605.csv:ERS1867329
PRJEB21605	SAMEA104208312	collection_date		2014	per_sample	PRJEB21605.csv:ERS1867330
PRJEB21605	SAMEA104208313	collection_date		2014	per_sample	PRJEB21605.csv:ERS1867331
PRJEB21605	SAMEA104208314	collection_date		2014	per_sample	PRJEB21605.csv:ERS1867332
PRJEB21605	SAMEA104208315	collection_date		2014	per_sample	PRJEB21605.csv:ERS1867333
PRJEB21605	SAMEA104208316	collection_date		2014	per_sample	PRJEB21605.csv:ERS1867334
PRJEB21605	SAMEA104208317	collection_date		2014	per_sample	PRJEB21605.csv:ERS1867335
PRJEB21605	SAMEA104208318	collection_date		2014	per_sample	PRJEB21605.csv:ERS1867336
PRJEB21605	SAMEA104208319	collection_date		2014	per_sample	PRJEB21605.csv:ERS1867337
PRJEB21605	SAMEA104208320	collection_date		2015	per_sample	PRJEB21605.csv:ERS1867338
PRJEB21605	SAMEA104208321	collection_date		2015	per_sample	PRJEB21605.csv:ERS1867339
PRJEB21605	SAMEA104208322	collection_date		2015	per_sample	PRJEB21605.csv:ERS1867340
PRJEB21605	SAMEA104208323	collection_date		2015	per_sample	PRJEB21605.csv:ERS1867341
PRJEB21605	SAMEA104208324	collection_date		2015	per_sample	PRJEB21605.csv:ERS1867342
PRJEB21605	SAMEA104208325	collection_date		2015	per_sample	PRJEB21605.csv:ERS1867343
PRJEB21605	SAMEA104208326	collection_date		2015	per_sample	PRJEB21605.csv:ERS1867344
PRJEB21605	SAMEA104208327	collection_date		2015	per_sample	PRJEB21605.csv:ERS1867345
PRJEB21605	SAMEA104208328	collection_date		2016	per_sample	PRJEB21605.csv:ERS1867346
PRJEB21605	SAMEA104208329	collection_date		2016	per_sample	PRJEB21605.csv:ERS1867347
PRJEB21605	SAMEA104208330	collection_date		2016	per_sample	PRJEB21605.csv:ERS1867348
PRJEB21605	SAMEA104208331	collection_date		2016	per_sample	PRJEB21605.csv:ERS1867349
PRJEB21605	SAMEA104208332	collection_date		2016	per_sample	PRJEB21605.csv:ERS1867350
PRJEB21605	SAMEA104208333	collection_date		2016	per_sample	PRJEB21605.csv:ERS1867351
PRJEB21605	SAMEA104208334	collection_date		2016	per_sample	PRJEB21605.csv:ERS1867352
PRJEB21605	SAMEA104208335	collection_date		2016	per_sample	PRJEB21605.csv:ERS1867353
PRJEB21605	SAMEA104208336	collection_date		2016	per_sample	PRJEB21605.csv:ERS1867354
PRJEB21605	SAMEA104208337	collection_date		2016	per_sample	PRJEB21605.csv:ERS1867355
PRJEB21605	SAMEA104208338	collection_date		2016	per_sample	PRJEB21605.csv:ERS1867356
PRJEB21605	SAMEA104208339	collection_date		2016	per_sample	PRJEB21605.csv:ERS1867357
PRJEB21605	SAMEA104208340	collection_date		2017	per_sample	PRJEB21605.csv:ERS1867358
PRJEB21605	SAMEA104208341	collection_date		2017	per_sample	PRJEB21605.csv:ERS1867359
PRJEB21605	SAMEA104208342	collection_date		2017	per_sample	PRJEB21605.csv:ERS1867360
PRJEB21605	SAMEA104208343	collection_date		2017	per_sample	PRJEB21605.csv:ERS1867361
PRJEB21605	SAMEA104208345	collection_date		2015	per_sample	PRJEB21605.csv:ERS1867363
PRJEB21605	SAMEA104208346	collection_date		2015	per_sample	PRJEB21605.csv:ERS1867364
PRJEB21605	SAMEA104208347	collection_date		2015	per_sample	PRJEB21605.csv:ERS1867365
PRJEB21605	SAMEA104208349	collection_date		2016	per_sample	PRJEB21605.csv:ERS1867367
PRJEB21605	SAMEA104208350	collection_date		2017	per_sample	PRJEB21605.csv:ERS1867368
PRJEB21605	SAMEA104208351	collection_date		2016	per_sample	PRJEB21605.csv:ERS1867369
PRJEB21605	SAMEA104208352	collection_date		2015	per_sample	PRJEB21605.csv:ERS1867370
PRJEB21605	SAMEA104208353	collection_date		2015	per_sample	PRJEB21605.csv:ERS1867371
PRJEB21605	SAMEA104208354	collection_date		2015	per_sample	PRJEB21605.csv:ERS1867372
PRJEB21605	SAMEA104208356	collection_date		2015	per_sample	PRJEB21605.csv:ERS1867374
PRJEB21605	SAMEA104208357	collection_date		2016	per_sample	PRJEB21605.csv:ERS1867375
PRJEB21605	SAMEA104208358	collection_date		2015	per_sample	PRJEB21605.csv:ERS1867376
PRJEB21605	SAMEA104208359	collection_date		2015	per_sample	PRJEB21605.csv:ERS1867377
PRJEB21605	SAMEA104208360	collection_date		2015	per_sample	PRJEB21605.csv:ERS1867378
PRJEB21605	SAMEA104208361	collection_date		2016	per_sample	PRJEB21605.csv:ERS1867379
PRJEB21605	SAMEA104208362	collection_date		2015	per_sample	PRJEB21605.csv:ERS1867380
PRJEB21605	SAMEA104208363	collection_date		2015	per_sample	PRJEB21605.csv:ERS1867381
