study_accession	sample_accession	field	ena_value	applied_value	method	evidence
PRJEB8667	SAMEA5734390	host		human	curator_escalation	curator escalation
PRJEB8667	SAMEA5734392	host		human	curator_escalation	curator escalation
PRJEB8667	SAMEA5734393	host		human	curator_escalation	curator escalation
PRJEB8667	SAMEA5734394	host		human	curator_escalation	curator escalation
PRJEB8667	SAMEA5734395	host		human	curator_escalation	curator escalation
PRJEB8667	SAMEA5734396	host		human	curator_escalation	curator escalation
PRJEB8667	SAMEA5734397	host		human	curator_escalation	curator escalation
PRJEB8667	SAMEA5734398	host		human	curator_escalation	curator escalation
PRJEB8667	SAMEA5734399	host		human	curator_escalation	curator escalation
PRJEB8667	SAMEA5734402	host		human	curator_escalation	curator escalation
PRJEB8667	SAMEA5734429	host		human	curator_escalation	curator escalation
PRJEB8667	SAMEA5734437	host		human	curator_escalation	curator escalation
PRJEB8667	SAMEA5734452	host		human	curator_escalation	curator escalation
PRJEB8667	SAMEA5734474	host		human	curator_escalation	curator escalation
PRJEB8667	SAMEA5734502	host		human	curator_escalation	curator escalation
PRJEB8667	SAMEA5734512	host		human	curator_escalation	curator escalation
PRJEB8667	SAMEA5734515	host		human	curator_escalation	curator escalation
PRJEB8667	SAMEA5734526	host		human	curator_escalation	curator escalation
PRJEB8667	SAMEA5734536	host		human	curator_escalation	curator escalation
PRJEB8667	SAMEA5734541	host		human	curator_escalation	curator escalation
PRJEB8667	SAMEA5734542	host		human	curator_escalation	curator escalation
PRJEB8667	SAMEA5734543	host		human	curator_escalation	curator escalation
PRJEB8667	SAMEA5734547	host		human	curator_escalation	curator escalation
PRJEB8667	SAMEA5734548	host		human	curator_escalation	curator escalation
PRJEB8667	SAMEA5734549	host		human	curator_escalation	curator escalation
PRJEB8667	SAMEA6102263	host		human	curator_escalation	curator escalation
PRJEB8667	SAMEA6102273	host		human	curator_escalation	curator escalation
PRJEB8667	SAMEA6102276	host		human	curator_escalation	curator escalation
PRJEB8667	SAMEA6102309	host		human	curator_escalation	curator escalation
PRJEB8667	SAMEA6102332	host		human	curator_escalation	curator escalation
PRJEB8667	SAMEA6102333	host		human	curator_escalation	curator escalation
PRJEB8667	SAMEA6102357	host		human	curator_escalation	curator escalation
PRJEB8667	SAMEA6102381	host		human	curator_escalation	curator escalation
PRJEB8667	SAMEA6102386	host		human	curator_escalation	curator escalation
PRJEB8667	SAMEA6102520	host		human	curator_escalation	curator escalation
PRJEB8667	SAMEA7456832	host		human	curator_escalation	curator escalation
PRJEB8667	SAMEA7456833	host		human	curator_escalation	curator escalation
PRJEB8667	SAMEA7456835	host		human	curator_escalation	curator escalation
PRJEB8667	SAMEA7456849	host		human	curator_escalation	curator escalation
PRJEB8667	SAMEA7456863	host		human	curator_escalation	curator escalation
PRJEB8667	SAMEA7456868	host		human	curator_escalation	curator escalation
PRJEB8667	SAMEA7456920	host		human	curator_escalation	curator escalation
PRJEB8667	SAMEA7457012	host		human	curator_escalation	curator escalation
PRJEB8667	SAMEA7457023	host		human	curator_escalation	curator escalation
PRJEB8667	SAMEA7457036	host		human	curator_escalation	curator escalation
PRJEB8667	SAMEA7457066	host		human	curator_escalation	curator escalation
PRJEB8667	SAMEA7457068	host		human	curator_escalation	curator escalation
PRJEB8667	SAMEA7457082	host		human	curator_escalation	curator escalation
PRJEB8667	SAMEA7457114	host		human	curator_escalation	curator escalation
PRJEB8667	SAMEA7457124	host		human	curator_escalation	curator escalation
PRJEB8667	SAMEA7457141	host		human	curator_escalation	curator escalation
PRJEB8667	SAMEA7457145	host		human	curator_escalation	curator escalation
PRJEB8667	SAMEA7457146	host		human	curator_escalation	curator escalation
PRJEB8667	SAMEA7457168	host		human	curator_escalation	curator escalation
PRJEB8667	SAMEA7457189	host		human	curator_escalation	curator escalation
PRJEB8667	SAMEA7457210	host		human	curator_escalation	curator escalation
PRJEB8667	SAMEA7457212	host		human	curator_escalation	curator escalation
PRJEB8667	SAMEA7457214	host		human	curator_escalation	curator escalation
PRJEB8667	SAMEA7608641	host		human	curator_escalation	curator escalation
PRJEB8667	SAMEA7608666	host		human	curator_escalation	curator escalation
PRJEB8667	SAMEA7608687	host		human	curator_escalation	curator escalation
PRJEB8667	SAMEA7608688	host		human	curator_escalation	curator escalation
PRJEB8667	SAMEA7608746	host		human	curator_escalation	curator escalation
PRJEB8667	SAMEA7608838	host		human	curator_escalation	curator escalation
PRJEB8667	SAMEA7608893	host		human	curator_escalation	curator escalation
PRJEB8667	SAMEA7608915	host		human	curator_escalation	curator escalation
PRJEB8667	SAMEA7608938	host		human	curator_escalation	curator escalation
PRJEB8667	SAMEA7608958	host		human	curator_escalation	curator escalation
PRJEB8667	SAMEA7608975	host		human	curator_escalation	curator escalation
PRJEB8667	SAMEA7609001	host		human	curator_escalation	curator escalation
PRJEB8667	SAMEA7609071	host		human	curator_escalation	curator escalation
PRJEB8667	SAMEA7609073	host		human	curator_escalation	curator escalation
PRJEB8667	SAMEA7609075	host		human	curator_escalation	curator escalation
PRJEB8667	SAMEA7609078	host		human	curator_escalation	curator escalation
