study_accession	pmcid	table	method	n_samples	n_fills	confidence	note
PRJEB70314	PMC12909941		abstained	0	0	none	no joinable table; field-bearing tables present but unanchored: ['44259_2026_186_MOESM2_ESM.xlsx', '44259_2026_186_MOESM3_ESM.xlsx']
PRJEB70897	PMC10869444		abstained	0	0	none	no joinable table; field-bearing tables present but unanchored: ['Table_1.XLSX', 'Table_1.XLSX']
PRJEB71325	PMC11004228		abstained	0	0	none	no joinable table
PRJEB72521			NO_PMCID	0	0	none	no PMCID — cannot fetch OA supplementary; see missing-papers / manual_download_supp
PRJEB7657			NO_PMCID	0	0	none	no PMCID — cannot fetch OA supplementary; see missing-papers / manual_download_supp
PRJEB8770	PMC6938978	ciz174_suppl_supplementary_table_1.xlsx	direct	10	10	medium	mapped 10 samples, 10 cell-fills; value-check rejected ['host']
PRJNA1000742	PMC10909888	41598_2024_55705_MOESM1_ESM.docx	abstained	0	0	high	joinable tables are accession-manifest only (no field columns)
PRJNA1016138	PMC11237748		abstained	0	0	none	no joinable table; field-bearing tables present but unanchored: ['reviewer-comments.pdf']
PRJNA1026663			NO_PMCID	0	0	none	no PMCID — cannot fetch OA supplementary; see missing-papers / manual_download_supp
PRJNA1031934	PMC10782962	spectrum.03079-23-s0001.docx	abstained	0	0	high	joinable tables are accession-manifest only (no field columns); no bridge to field tables ['spectrum.03079-23-s0002.xlsx']
PRJNA1040414			NO_PMCID	0	0	none	no PMCID — cannot fetch OA supplementary; see missing-papers / manual_download_supp
PRJNA1047501			NO_PMCID	0	0	none	no PMCID — cannot fetch OA supplementary; see missing-papers / manual_download_supp
PRJNA1057737			NO_PMCID	0	0	none	no PMCID — cannot fetch OA supplementary; see missing-papers / manual_download_supp
PRJNA1070647			NO_PMCID	0	0	none	no PMCID — cannot fetch OA supplementary; see missing-papers / manual_download_supp
PRJNA1072014	PMC11949386		abstained	0	0	none	no joinable table
PRJNA1101444			NO_PMCID	0	0	none	no PMCID — cannot fetch OA supplementary; see missing-papers / manual_download_supp
PRJNA1136145	PMC13281820		abstained	0	0	none	no joinable table; field-bearing tables present but unanchored: ['sciadv.aee0675_sm.pdf', 'sciadv.aee0675_sm.pdf', 'sciadv.aee0675_sm.pdf', 'sciadv.aee0675_sm.pdf']
PRJNA1136496	PMC11533117	mgen-10-01314-s002.xlsx	abstained	0	0	high	joinable tables are accession-manifest only (no field columns); no bridge to field tables ['mgen-10-01314-s001.pdf', 'mgen-10-01314-s001.pdf', 'mgen-10-01314-s002.xlsx']
PRJNA279496	PMC4580588		abstained	0	0	none	no joinable table; field-bearing tables present but unanchored: ['pone.0138828.s008.docx']
PRJNA287968	PMC5923139		abstained	0	0	none	no joinable table
PRJNA292663	PMC6906146		abstained	0	0	none	no joinable table
PRJNA292901			NO_PMCID	0	0	none	no PMCID — cannot fetch OA supplementary; see missing-papers / manual_download_supp
PRJNA316969	PMC5060011		abstained	0	0	none	no joinable table
PRJNA326665	PMC5328542		abstained	0	0	none	no joinable table
PRJNA356346			NO_PMCID	0	0	none	no PMCID — cannot fetch OA supplementary; see missing-papers / manual_download_supp
PRJNA375798	PMC5529442		abstained	0	0	none	no joinable table
PRJNA391054	PMC6417137		abstained	0	0	none	no joinable table; field-bearing tables present but unanchored: ['12866_2019_1431_MOESM2_ESM.xlsx']
PRJNA396729	PMC5660112	DataSheet1.docx	abstained	0	0	high	joinable tables are accession-manifest only (no field columns); no bridge to field tables ['DataSheet1.docx']
PRJNA430457	PMC6436753	ppat.1007218.s016.xlsx+ppat.1007218.s017.xlsx	two_hop	6	421	high	two-hop: 6 samples via 228 shared IDs, 421 cell-fills
PRJNA430813	PMC5801463	mbo001183707st2.xlsx	direct	19	38	high	mapped 19 samples, 38 cell-fills
PRJNA437215			NO_PMCID	0	0	none	no PMCID — cannot fetch OA supplementary; see missing-papers / manual_download_supp
PRJNA438157			NO_PMCID	0	0	none	no PMCID — cannot fetch OA supplementary; see missing-papers / manual_download_supp
PRJNA451051			NO_PMCID	0	0	none	no PMCID — cannot fetch OA supplementary; see missing-papers / manual_download_supp
PRJNA497260	PMC5786719		abstained	0	0	none	no joinable table
PRJNA508510			NO_PMCID	0	0	none	no PMCID — cannot fetch OA supplementary; see missing-papers / manual_download_supp
PRJNA512395	PMC7180233		abstained	0	0	none	no joinable table
PRJNA523429			NO_PMCID	0	0	none	no PMCID — cannot fetch OA supplementary; see missing-papers / manual_download_supp
PRJNA523433			NO_PMCID	0	0	none	no PMCID — cannot fetch OA supplementary; see missing-papers / manual_download_supp
PRJNA523709			NO_PMCID	0	0	none	no PMCID — cannot fetch OA supplementary; see missing-papers / manual_download_supp
PRJNA524761	PMC6554614		abstained	0	0	none	no joinable table
PRJNA525688	PMC6486781		abstained	0	0	none	no joinable table; field-bearing tables present but unanchored: ['pnas.1820594116.sd03.xlsx', 'pnas.1820594116.sd03.xlsx', 'pnas.1820594116.sapp.pdf', 'pnas.1820594116.sapp.pdf', 'pnas.1820594116.sd04.xlsx', 'pnas.1820594116.sd01.xlsx']
PRJNA529495			NO_PMCID	0	0	none	no PMCID — cannot fetch OA supplementary; see missing-papers / manual_download_supp
PRJNA575837			NO_PMCID	0	0	none	no PMCID — cannot fetch OA supplementary; see missing-papers / manual_download_supp
