study_accession	pmcid	table	method	n_samples	n_fills	confidence	note
PRJEB64702	PMC11223429	13756_2024_1429_MOESM3_ESM.xlsx	direct	87	261	high	mapped 87 samples, 261 cell-fills
PRJEB66360	PMC10714954		abstained	0	0	none	no joinable table
PRJEB78367	PMC12753507		abstained	0	0	none	no joinable table; field-bearing tables present but unanchored: ['Table_1.DOCX']
PRJEB7967	PMC4513082		abstained	0	0	none	no joinable table; field-bearing tables present but unanchored: ['mbo004152403st3.pdf']
PRJEB8265	PMC11489765		abstained	0	0	none	no joinable table; field-bearing tables present but unanchored: ['41467_2024_53391_MOESM2_ESM.pdf', '41467_2024_53391_MOESM2_ESM.pdf', '41467_2024_53391_MOESM2_ESM.pdf', '41467_2024_53391_MOESM2_ESM.pdf', '41467_2024_53391_MOESM2_ESM.pdf', '41467_2024_53391_MOESM2_ESM.pdf', '41467_2024_53391_MOESM2_ESM.pdf', '41467_2024_53391_MOESM2_ESM.pdf', '41467_2024_53391_MOESM2_ESM.pdf', '41467_2024_53391_MOESM2_ESM.pdf', '41467_2024_53391_MOESM2_ESM.pdf', '41467_2024_53391_MOESM2_ESM.pdf', '41467_2024_53391_MOESM2_ESM.pdf', '41467_2024_53391_MOESM2_ESM.pdf', '41467_2024_53391_MOESM2_ESM.pdf', '41467_2024_53391_MOESM2_ESM.pdf', '41467_2024_53391_MOESM2_ESM.pdf', '41467_2024_53391_MOESM2_ESM.pdf', '41467_2024_53391_MOESM2_ESM.pdf', '41467_2024_53391_MOESM2_ESM.pdf', '41467_2024_53391_MOESM2_ESM.pdf', '41467_2024_53391_MOESM2_ESM.pdf', '41467_2024_53391_MOESM2_ESM.pdf']
PRJEB9325	PMC8549359	mgen-7-0613-s002.xlsx	direct	70	140	high	mapped 70 samples, 140 cell-fills
PRJNA1026096			NO_PMCID	0	0	none	no PMCID — cannot fetch OA supplementary; see missing-papers / manual_download_supp
PRJNA1050414	PMC11784837		abstained	0	0	none	no joinable table; field-bearing tables present but unanchored: ['sciadv.ado9097_sm.pdf', 'sciadv.ado9097_sm.pdf', 'sciadv.ado9097_sm.pdf', 'sciadv.ado9097_sm.pdf', 'sciadv.ado9097_sm.pdf', 'sciadv.ado9097_sm.pdf', 'sciadv.ado9097_sm.pdf']
PRJNA1061342			NO_PMCID	0	0	none	no PMCID — cannot fetch OA supplementary; see missing-papers / manual_download_supp
PRJNA1095184			NO_PMCID	0	0	none	no PMCID — cannot fetch OA supplementary; see missing-papers / manual_download_supp
PRJNA1135353	PMC11893277		abstained	0	0	none	no joinable table
PRJNA231221	PMC6658474	41467_2019_11306_MOESM2_ESM.xlsx	abstained	0	0	high	joinable tables are accession-manifest only (no field columns); no bridge to field tables ['41467_2019_11306_MOESM8_ESM.xlsx', '41467_2019_11306_MOESM9_ESM.xlsx', '41467_2019_11306_MOESM6_ESM.xlsx', '41467_2019_11306_MOESM4_ESM.xlsx', '41467_2019_11306_MOESM5_ESM.xlsx', '41467_2019_11306_MOESM13_ESM.pdf', '41467_2019_11306_MOESM13_ESM.pdf', '41467_2019_11306_MOESM13_ESM.pdf', '41467_2019_11306_MOESM13_ESM.pdf', '41467_2019_11306_MOESM13_ESM.pdf', '41467_2019_11306_MOESM13_ESM.pdf', '41467_2019_11306_MOESM13_ESM.pdf', '41467_2019_11306_MOESM13_ESM.pdf', '41467_2019_11306_MOESM13_ESM.pdf', '41467_2019_11306_MOESM13_ESM.pdf', '41467_2019_11306_MOESM13_ESM.pdf', '41467_2019_11306_MOESM13_ESM.pdf', '41467_2019_11306_MOESM13_ESM.pdf', '41467_2019_11306_MOESM13_ESM.pdf', '41467_2019_11306_MOESM1_ESM.pdf', '41467_2019_11306_MOESM1_ESM.pdf', '41467_2019_11306_MOESM1_ESM.pdf', '41467_2019_11306_MOESM1_ESM.pdf', '41467_2019_11306_MOESM7_ESM.xlsx']
PRJNA237670	PMC3977278		abstained	0	0	none	no joinable table
PRJNA259658	PMC5156309		abstained	0	0	none	no joinable table; field-bearing tables present but unanchored: ['mbo006163111sd1.xlsx', 'mbo006163111sd2.xlsx']
PRJNA289272	PMC4551003	supp_civ428_civ428supp_tables1.xlsx	direct	82	164	high	mapped 82 samples, 164 cell-fills
PRJNA329105			NO_PMCID	0	0	none	no PMCID — cannot fetch OA supplementary; see missing-papers / manual_download_supp
PRJNA342893			NO_PMCID	0	0	none	no PMCID — cannot fetch OA supplementary; see missing-papers / manual_download_supp
PRJNA415530	PMC6376851		abstained	0	0	none	no joinable table
PRJNA488070	PMC6433043		abstained	0	0	none	no joinable table
PRJNA591480	PMC7761178		abstained	0	0	none	no joinable table
PRJNA592157	PMC7395672		abstained	0	0	none	no joinable table
PRJNA605147	PMC8034854		abstained	0	0	none	no joinable table
PRJNA643814			NO_PMCID	0	0	none	no PMCID — cannot fetch OA supplementary; see missing-papers / manual_download_supp
PRJNA701073	PMC9047678		abstained	0	0	none	no joinable table
PRJNA799063			NO_PMCID	0	0	none	no PMCID — cannot fetch OA supplementary; see missing-papers / manual_download_supp
PRJNA903550	PMC9808315	22-00896_HENDRICKX_Supplement.xlsx	direct	37	37	high	mapped 37 samples, 37 cell-fills
PRJNA918858	PMC10375995		abstained	0	0	none	no joinable table
PRJNA970254	PMC10958879		abstained	0	0	none	no joinable table; field-bearing tables present but unanchored: ['13059_2024_3216_MOESM3_ESM.docx']
