study_accession	sample_accession	field	ena_value	applied_value	method	evidence
PRJEB30913	SAMEA5232512	country		India	per_sample	13073_2019_706_MOESM1_ESM.xlsx:ERS3039939
PRJEB30913	SAMEA5232512	collection_date		2016	per_sample	13073_2019_706_MOESM1_ESM.xlsx:ERS3039939
PRJEB30913	SAMEA5232513	country		India	per_sample	13073_2019_706_MOESM1_ESM.xlsx:ERS3039940
PRJEB30913	SAMEA5232513	collection_date		2016	per_sample	13073_2019_706_MOESM1_ESM.xlsx:ERS3039940
PRJEB30913	SAMEA5232514	country		India	per_sample	13073_2019_706_MOESM1_ESM.xlsx:ERS3039941
PRJEB30913	SAMEA5232514	collection_date		2016	per_sample	13073_2019_706_MOESM1_ESM.xlsx:ERS3039941
PRJEB30913	SAMEA5232515	country		India	per_sample	13073_2019_706_MOESM1_ESM.xlsx:ERS3039942
PRJEB30913	SAMEA5232515	collection_date		2016	per_sample	13073_2019_706_MOESM1_ESM.xlsx:ERS3039942
PRJEB30913	SAMEA5232516	country		India	per_sample	13073_2019_706_MOESM1_ESM.xlsx:ERS3039943
PRJEB30913	SAMEA5232516	collection_date		2016	per_sample	13073_2019_706_MOESM1_ESM.xlsx:ERS3039943
PRJEB30913	SAMEA5232517	country		India	per_sample	13073_2019_706_MOESM1_ESM.xlsx:ERS3039944
PRJEB30913	SAMEA5232517	collection_date		2016	per_sample	13073_2019_706_MOESM1_ESM.xlsx:ERS3039944
PRJEB30913	SAMEA5232518	country		India	per_sample	13073_2019_706_MOESM1_ESM.xlsx:ERS3039945
PRJEB30913	SAMEA5232518	collection_date		2016	per_sample	13073_2019_706_MOESM1_ESM.xlsx:ERS3039945
PRJEB30913	SAMEA5232519	country		India	per_sample	13073_2019_706_MOESM1_ESM.xlsx:ERS3039946
PRJEB30913	SAMEA5232519	collection_date		2016	per_sample	13073_2019_706_MOESM1_ESM.xlsx:ERS3039946
PRJEB30913	SAMEA5232520	country		India	per_sample	13073_2019_706_MOESM1_ESM.xlsx:ERS3039947
PRJEB30913	SAMEA5232520	collection_date		2016	per_sample	13073_2019_706_MOESM1_ESM.xlsx:ERS3039947
PRJEB30913	SAMEA5232521	country		India	per_sample	13073_2019_706_MOESM1_ESM.xlsx:ERS3039948
PRJEB30913	SAMEA5232521	collection_date		2016	per_sample	13073_2019_706_MOESM1_ESM.xlsx:ERS3039948
PRJEB30913	SAMEA5232522	country		India	per_sample	13073_2019_706_MOESM1_ESM.xlsx:ERS3039949
PRJEB30913	SAMEA5232522	collection_date		2016	per_sample	13073_2019_706_MOESM1_ESM.xlsx:ERS3039949
PRJEB30913	SAMEA5232523	country		India	per_sample	13073_2019_706_MOESM1_ESM.xlsx:ERS3039950
PRJEB30913	SAMEA5232523	collection_date		2016	per_sample	13073_2019_706_MOESM1_ESM.xlsx:ERS3039950
PRJEB30913	SAMEA5232524	country		India	per_sample	13073_2019_706_MOESM1_ESM.xlsx:ERS3039951
PRJEB30913	SAMEA5232524	collection_date		2016	per_sample	13073_2019_706_MOESM1_ESM.xlsx:ERS3039951
PRJEB30913	SAMEA5232525	country		India	per_sample	13073_2019_706_MOESM1_ESM.xlsx:ERS3039952
PRJEB30913	SAMEA5232525	collection_date		2016	per_sample	13073_2019_706_MOESM1_ESM.xlsx:ERS3039952
PRJEB30913	SAMEA5232526	country		India	per_sample	13073_2019_706_MOESM1_ESM.xlsx:ERS3039953
PRJEB30913	SAMEA5232526	collection_date		2016	per_sample	13073_2019_706_MOESM1_ESM.xlsx:ERS3039953
PRJEB30913	SAMEA5232527	country		India	per_sample	13073_2019_706_MOESM1_ESM.xlsx:ERS3039954
PRJEB30913	SAMEA5232527	collection_date		2017	per_sample	13073_2019_706_MOESM1_ESM.xlsx:ERS3039954
PRJEB30913	SAMEA5232528	country		India	per_sample	13073_2019_706_MOESM1_ESM.xlsx:ERS3039955
PRJEB30913	SAMEA5232528	collection_date		2017	per_sample	13073_2019_706_MOESM1_ESM.xlsx:ERS3039955
PRJEB30913	SAMEA5232529	country		India	per_sample	13073_2019_706_MOESM1_ESM.xlsx:ERS3039956
PRJEB30913	SAMEA5232529	collection_date		2017	per_sample	13073_2019_706_MOESM1_ESM.xlsx:ERS3039956
PRJEB30913	SAMEA5232530	country		India	per_sample	13073_2019_706_MOESM1_ESM.xlsx:ERS3039957
PRJEB30913	SAMEA5232530	collection_date		2017	per_sample	13073_2019_706_MOESM1_ESM.xlsx:ERS3039957
PRJEB30913	SAMEA5232531	country		India	per_sample	13073_2019_706_MOESM1_ESM.xlsx:ERS3039958
PRJEB30913	SAMEA5232531	collection_date		2017	per_sample	13073_2019_706_MOESM1_ESM.xlsx:ERS3039958
PRJEB30913	SAMEA5232532	country		India	per_sample	13073_2019_706_MOESM1_ESM.xlsx:ERS3039959
PRJEB30913	SAMEA5232532	collection_date		2017	per_sample	13073_2019_706_MOESM1_ESM.xlsx:ERS3039959
PRJEB30913	SAMEA5232533	country		India	per_sample	13073_2019_706_MOESM1_ESM.xlsx:ERS3039960
PRJEB30913	SAMEA5232533	collection_date		2017	per_sample	13073_2019_706_MOESM1_ESM.xlsx:ERS3039960
PRJEB30913	SAMEA5232534	country		India	per_sample	13073_2019_706_MOESM1_ESM.xlsx:ERS3039961
PRJEB30913	SAMEA5232534	collection_date		2017	per_sample	13073_2019_706_MOESM1_ESM.xlsx:ERS3039961
PRJEB30913	SAMEA5232535	country		India	per_sample	13073_2019_706_MOESM1_ESM.xlsx:ERS3039962
PRJEB30913	SAMEA5232535	collection_date		2017	per_sample	13073_2019_706_MOESM1_ESM.xlsx:ERS3039962
PRJEB30913	SAMEA5232536	country		India	per_sample	13073_2019_706_MOESM1_ESM.xlsx:ERS3039963
PRJEB30913	SAMEA5232536	collection_date		2017	per_sample	13073_2019_706_MOESM1_ESM.xlsx:ERS3039963
PRJEB30913	SAMEA5232537	country		India	per_sample	13073_2019_706_MOESM1_ESM.xlsx:ERS3039964
PRJEB30913	SAMEA5232537	collection_date		2017	per_sample	13073_2019_706_MOESM1_ESM.xlsx:ERS3039964
PRJEB30913	SAMEA5232538	country		India	per_sample	13073_2019_706_MOESM1_ESM.xlsx:ERS3039965
PRJEB30913	SAMEA5232538	collection_date		2017	per_sample	13073_2019_706_MOESM1_ESM.xlsx:ERS3039965
PRJEB30913	SAMEA5232539	country		India	per_sample	13073_2019_706_MOESM1_ESM.xlsx:ERS3039966
PRJEB30913	SAMEA5232539	collection_date		2017	per_sample	13073_2019_706_MOESM1_ESM.xlsx:ERS3039966
PRJEB30913	SAMEA5232540	country		India	per_sample	13073_2019_706_MOESM1_ESM.xlsx:ERS3039967
PRJEB30913	SAMEA5232540	collection_date		2017	per_sample	13073_2019_706_MOESM1_ESM.xlsx:ERS3039967
PRJEB30913	SAMEA5232541	country		India	per_sample	13073_2019_706_MOESM1_ESM.xlsx:ERS3039968
PRJEB30913	SAMEA5232541	collection_date		2017	per_sample	13073_2019_706_MOESM1_ESM.xlsx:ERS3039968
PRJEB30913	SAMEA5232542	country		India	per_sample	13073_2019_706_MOESM1_ESM.xlsx:ERS3039969
PRJEB30913	SAMEA5232542	collection_date		2017	per_sample	13073_2019_706_MOESM1_ESM.xlsx:ERS3039969
PRJEB30913	SAMEA5232543	country		India	per_sample	13073_2019_706_MOESM1_ESM.xlsx:ERS3039970
PRJEB30913	SAMEA5232543	collection_date		2017	per_sample	13073_2019_706_MOESM1_ESM.xlsx:ERS3039970
PRJEB30913	SAMEA5232544	country		India	per_sample	13073_2019_706_MOESM1_ESM.xlsx:ERS3039971
PRJEB30913	SAMEA5232544	collection_date		2017	per_sample	13073_2019_706_MOESM1_ESM.xlsx:ERS3039971
PRJEB30913	SAMEA5232545	country		India	per_sample	13073_2019_706_MOESM1_ESM.xlsx:ERS3039972
PRJEB30913	SAMEA5232545	collection_date		2017	per_sample	13073_2019_706_MOESM1_ESM.xlsx:ERS3039972
PRJEB30913	SAMEA5232546	country		India	per_sample	13073_2019_706_MOESM1_ESM.xlsx:ERS3039973
PRJEB30913	SAMEA5232546	collection_date		2017	per_sample	13073_2019_706_MOESM1_ESM.xlsx:ERS3039973
PRJEB30913	SAMEA5232547	country		India	per_sample	13073_2019_706_MOESM1_ESM.xlsx:ERS3039974
PRJEB30913	SAMEA5232547	collection_date		2017	per_sample	13073_2019_706_MOESM1_ESM.xlsx:ERS3039974
PRJEB30913	SAMEA5232548	country		India	per_sample	13073_2019_706_MOESM1_ESM.xlsx:ERS3039975
PRJEB30913	SAMEA5232548	collection_date		2017	per_sample	13073_2019_706_MOESM1_ESM.xlsx:ERS3039975
PRJEB30913	SAMEA5232549	country		India	per_sample	13073_2019_706_MOESM1_ESM.xlsx:ERS3039976
PRJEB30913	SAMEA5232549	collection_date		2017	per_sample	13073_2019_706_MOESM1_ESM.xlsx:ERS3039976
PRJEB30913	SAMEA5232550	country		India	per_sample	13073_2019_706_MOESM1_ESM.xlsx:ERS3039977
PRJEB30913	SAMEA5232550	collection_date		2017	per_sample	13073_2019_706_MOESM1_ESM.xlsx:ERS3039977
PRJEB30913	SAMEA5232551	country		India	per_sample	13073_2019_706_MOESM1_ESM.xlsx:ERS3039978
PRJEB30913	SAMEA5232551	collection_date		2017	per_sample	13073_2019_706_MOESM1_ESM.xlsx:ERS3039978
PRJEB30913	SAMEA5232552	country		India	per_sample	13073_2019_706_MOESM1_ESM.xlsx:ERS3039979
PRJEB30913	SAMEA5232552	collection_date		2017	per_sample	13073_2019_706_MOESM1_ESM.xlsx:ERS3039979
PRJEB30913	SAMEA5232553	country		India	per_sample	13073_2019_706_MOESM1_ESM.xlsx:ERS3039980
PRJEB30913	SAMEA5232553	collection_date		2017	per_sample	13073_2019_706_MOESM1_ESM.xlsx:ERS3039980
PRJEB30913	SAMEA5232554	country		India	per_sample	13073_2019_706_MOESM1_ESM.xlsx:ERS3039981
PRJEB30913	SAMEA5232554	collection_date		2017	per_sample	13073_2019_706_MOESM1_ESM.xlsx:ERS3039981
PRJEB30913	SAMEA5232555	country		India	per_sample	13073_2019_706_MOESM1_ESM.xlsx:ERS3039982
PRJEB30913	SAMEA5232555	collection_date		2017	per_sample	13073_2019_706_MOESM1_ESM.xlsx:ERS3039982
PRJEB30913	SAMEA5232556	country		India	per_sample	13073_2019_706_MOESM1_ESM.xlsx:ERS3039983
PRJEB30913	SAMEA5232556	collection_date		2017	per_sample	13073_2019_706_MOESM1_ESM.xlsx:ERS3039983
PRJEB30913	SAMEA5232557	country		India	per_sample	13073_2019_706_MOESM1_ESM.xlsx:ERS3039984
PRJEB30913	SAMEA5232557	collection_date		2017	per_sample	13073_2019_706_MOESM1_ESM.xlsx:ERS3039984
PRJEB30913	SAMEA5232558	country		India	per_sample	13073_2019_706_MOESM1_ESM.xlsx:ERS3039985
PRJEB30913	SAMEA5232558	collection_date		2017	per_sample	13073_2019_706_MOESM1_ESM.xlsx:ERS3039985
PRJEB30913	SAMEA5232559	country		India	per_sample	13073_2019_706_MOESM1_ESM.xlsx:ERS3039986
