study_accession	sample_accession	field	ena_value	applied_value	method	evidence
PRJEB34380	SAMEA5951293	isolation_source		urine	per_sample	Table_1.XLSX:ERS3739777
PRJEB34380	SAMEA5951294	collection_date		2018-02-04 17:09:00	per_sample	Table_1.XLSX:ERS3739778
PRJEB34380	SAMEA5951294	isolation_source		rectal_swab	per_sample	Table_1.XLSX:ERS3739778
PRJEB34380	SAMEA5951295	collection_date		2018-02-04 13:57:00	per_sample	Table_1.XLSX:ERS3739779
PRJEB34380	SAMEA5951295	isolation_source		rectal_swab	per_sample	Table_1.XLSX:ERS3739779
PRJEB34380	SAMEA5951296	collection_date		2018-02-04 14:01:00	per_sample	Table_1.XLSX:ERS3739780
PRJEB34380	SAMEA5951296	isolation_source		rectal_swab	per_sample	Table_1.XLSX:ERS3739780
PRJEB34380	SAMEA5951297	collection_date		2018-02-05 20:19:00	per_sample	Table_1.XLSX:ERS3739781
PRJEB34380	SAMEA5951297	isolation_source		rectal_swab	per_sample	Table_1.XLSX:ERS3739781
PRJEB34380	SAMEA5951298	collection_date		2018-02-10 22:31:00	per_sample	Table_1.XLSX:ERS3739782
PRJEB34380	SAMEA5951298	isolation_source		rectal_swab	per_sample	Table_1.XLSX:ERS3739782
PRJEB34380	SAMEA5951299	collection_date		2018-05-16 08:02:00	per_sample	Table_1.XLSX:ERS3739783
PRJEB34380	SAMEA5951299	isolation_source		urine	per_sample	Table_1.XLSX:ERS3739783
PRJEB34380	SAMEA5951300	collection_date		2018-02-26 23:22:00	per_sample	Table_1.XLSX:ERS3739784
PRJEB34380	SAMEA5951300	isolation_source		bronchial_lavage	per_sample	Table_1.XLSX:ERS3739784
PRJEB34380	SAMEA5951301	collection_date		2018-03-05 23:32:00	per_sample	Table_1.XLSX:ERS3739785
PRJEB34380	SAMEA5951301	isolation_source		rectal_swab	per_sample	Table_1.XLSX:ERS3739785
PRJEB34380	SAMEA5951302	collection_date		2018-03-05 23:33:00	per_sample	Table_1.XLSX:ERS3739786
PRJEB34380	SAMEA5951302	isolation_source		rectal_swab	per_sample	Table_1.XLSX:ERS3739786
PRJEB34380	SAMEA5951303	collection_date		2018-06-29 14:19:00	per_sample	Table_1.XLSX:ERS3739787
PRJEB34380	SAMEA5951303	isolation_source		urine	per_sample	Table_1.XLSX:ERS3739787
PRJEB34380	SAMEA5951304	collection_date		2018-04-21 13:06:00	per_sample	Table_1.XLSX:ERS3739788
PRJEB34380	SAMEA5951304	isolation_source		rectal_swab	per_sample	Table_1.XLSX:ERS3739788
PRJEB34380	SAMEA5951305	collection_date		2018-04-23 21:34:00	per_sample	Table_1.XLSX:ERS3739789
PRJEB34380	SAMEA5951305	isolation_source		rectal_swab	per_sample	Table_1.XLSX:ERS3739789
PRJEB34380	SAMEA5951306	collection_date		2018-04-30 22:27:00	per_sample	Table_1.XLSX:ERS3739790
PRJEB34380	SAMEA5951306	isolation_source		rectal_swab	per_sample	Table_1.XLSX:ERS3739790
PRJEB34380	SAMEA5951307	collection_date		2018-05-14 00:09:00	per_sample	Table_1.XLSX:ERS3739791
PRJEB34380	SAMEA5951307	isolation_source		rectal_swab	per_sample	Table_1.XLSX:ERS3739791
PRJEB34380	SAMEA5951308	collection_date		2018-05-14 13:48:00	per_sample	Table_1.XLSX:ERS3739792
PRJEB34380	SAMEA5951308	isolation_source		rectal_swab	per_sample	Table_1.XLSX:ERS3739792
PRJEB34380	SAMEA5951309	collection_date		2018-05-31 09:55:00	per_sample	Table_1.XLSX:ERS3739793
PRJEB34380	SAMEA5951309	isolation_source		blood	per_sample	Table_1.XLSX:ERS3739793
PRJEB34380	SAMEA5951310	collection_date		2018-07-20 10:26:00	per_sample	Table_1.XLSX:ERS3739794
PRJEB34380	SAMEA5951310	isolation_source		blood	per_sample	Table_1.XLSX:ERS3739794
PRJEB34380	SAMEA5951311	collection_date		2018-08-30 11:10:00	per_sample	Table_1.XLSX:ERS3739795
PRJEB34380	SAMEA5951311	isolation_source		blood	per_sample	Table_1.XLSX:ERS3739795
PRJEB34380	SAMEA5951312	collection_date		2018-08-04 13:27:00	per_sample	Table_1.XLSX:ERS3739796
PRJEB34380	SAMEA5951312	isolation_source		blood	per_sample	Table_1.XLSX:ERS3739796
PRJEB34380	SAMEA5951313	collection_date		2018-07-02 22:04:00	per_sample	Table_1.XLSX:ERS3739797
PRJEB34380	SAMEA5951313	isolation_source		rectal_swab	per_sample	Table_1.XLSX:ERS3739797
PRJEB34380	SAMEA5951314	collection_date		2018-07-12 14:11:00	per_sample	Table_1.XLSX:ERS3739798
PRJEB34380	SAMEA5951314	isolation_source		urine	per_sample	Table_1.XLSX:ERS3739798
