gca_bare	species
GCA_028635255	Klebsiella pneumoniae
GCA_052979065	Klebsiella pneumoniae
GCA_026253365	Klebsiella pneumoniae
GCA_030178695	Klebsiella pneumoniae
GCA_030179785	Klebsiella pneumoniae
GCA_030412765	Klebsiella pneumoniae
GCA_052979205	Klebsiella pneumoniae
GCA_052979505	Klebsiella pneumoniae
GCA_947662885	Klebsiella pneumoniae
GCA_052980185	Klebsiella pneumoniae
GCA_947662735	Klebsiella pneumoniae
GCA_947660395	Klebsiella pneumoniae
GCA_052979165	Klebsiella pneumoniae
GCA_029972295	Klebsiella michiganensis
GCA_052979545	Klebsiella pneumoniae
GCA_052979085	Klebsiella pneumoniae
GCA_052979185	Klebsiella pneumoniae
GCA_052979305	Klebsiella pneumoniae
GCA_926500335	Klebsiella pneumoniae
GCA_948469915	Klebsiella pneumoniae
GCA_052980505	Klebsiella pneumoniae
GCA_926500285	Klebsiella pneumoniae
GCA_052980415	Klebsiella pneumoniae
GCA_052979245	Klebsiella pneumoniae
GCA_052979145	Klebsiella pneumoniae
GCA_052979425	Klebsiella pneumoniae
GCA_929606865	Klebsiella pneumoniae
GCA_052979405	Klebsiella pneumoniae
GCA_029492505	Klebsiella pneumoniae
GCA_024428855	Klebsiella pneumoniae
GCA_024377775	Klebsiella pneumoniae
GCA_024428615	Klebsiella pneumoniae
GCA_045488655	Klebsiella pneumoniae
GCA_045488295	Klebsiella pneumoniae
GCA_043017265	Klebsiella pneumoniae
GCA_045486155	Klebsiella pneumoniae
GCA_024429835	Klebsiella pneumoniae
GCA_045487395	Klebsiella pneumoniae
GCA_028561415	Klebsiella pneumoniae
GCA_031047515	Klebsiella pneumoniae
GCA_024862875	Klebsiella pneumoniae
GCA_028560635	Klebsiella pneumoniae
GCA_029091185	Klebsiella pneumoniae
GCA_028638105	Klebsiella pneumoniae
GCA_045154435	Klebsiella pneumoniae
GCA_045488715	Klebsiella pneumoniae
GCA_043017225	Klebsiella pneumoniae
GCA_029091205	Klebsiella pneumoniae
GCA_024087515	Klebsiella pneumoniae
GCA_029091285	Klebsiella pneumoniae
GCA_029091225	Klebsiella pneumoniae
GCA_024429855	Klebsiella pneumoniae
GCA_028564175	Klebsiella pneumoniae
GCA_024671905	Klebsiella pneumoniae
GCA_024671845	Klebsiella pneumoniae
GCA_024671885	Klebsiella pneumoniae
GCA_045154455	Klebsiella pneumoniae
GCA_024671655	Klebsiella pneumoniae
GCA_027908545	Klebsiella pneumoniae
GCA_024612745	Klebsiella pneumoniae
GCA_024610325	Klebsiella pneumoniae
GCA_024671825	Klebsiella pneumoniae
GCA_024671805	Klebsiella pneumoniae
GCA_024671715	Klebsiella pneumoniae
GCA_024671785	Klebsiella pneumoniae
GCA_024671635	Klebsiella pneumoniae
GCA_045154475	Klebsiella pneumoniae
GCA_045154485	Klebsiella pneumoniae
GCA_024671865	Klebsiella pneumoniae
GCA_024671615	Klebsiella pneumoniae
GCA_024671695	Klebsiella pneumoniae
GCA_024431405	Klebsiella pneumoniae
GCA_026348455	Klebsiella pneumoniae
GCA_026312835	Klebsiella aerogenes
GCA_029091425	Klebsiella aerogenes
GCA_029091365	Klebsiella aerogenes
