study_accession	sample_accession	field	ena_value	applied_value	method	evidence
PRJEB36392	SAMEA111533259	host		human	per_sample	mgen-9-1005-s003.xlsx:SAMEA111533259
PRJEB36392	SAMEA111533261	host		human	per_sample	mgen-9-1005-s003.xlsx:SAMEA111533261
PRJEB36392	SAMEA111533263	host		human	per_sample	mgen-9-1005-s003.xlsx:SAMEA111533263
PRJEB36392	SAMEA111533265	host		human	per_sample	mgen-9-1005-s003.xlsx:SAMEA111533265
PRJEB36392	SAMEA111533267	host		human	per_sample	mgen-9-1005-s003.xlsx:SAMEA111533267
PRJEB36392	SAMEA111533269	host		human	per_sample	mgen-9-1005-s003.xlsx:SAMEA111533269
PRJEB36392	SAMEA111533271	host		human	per_sample	mgen-9-1005-s003.xlsx:SAMEA111533271
PRJEB36392	SAMEA111533273	host		human	per_sample	mgen-9-1005-s003.xlsx:SAMEA111533273
PRJEB36392	SAMEA111533275	host		human	per_sample	mgen-9-1005-s003.xlsx:SAMEA111533275
PRJEB36392	SAMEA111533277	host		human	per_sample	mgen-9-1005-s003.xlsx:SAMEA111533277
PRJEB36392	SAMEA111533279	host		human	per_sample	mgen-9-1005-s003.xlsx:SAMEA111533279
PRJEB36392	SAMEA111533281	host		human	per_sample	mgen-9-1005-s003.xlsx:SAMEA111533281
PRJEB36392	SAMEA111533283	host		human	per_sample	mgen-9-1005-s003.xlsx:SAMEA111533283
PRJEB36392	SAMEA111533285	host		human	per_sample	mgen-9-1005-s003.xlsx:SAMEA111533285
PRJEB36392	SAMEA111533287	host		human	per_sample	mgen-9-1005-s003.xlsx:SAMEA111533287
PRJEB36392	SAMEA111533289	host		human	per_sample	mgen-9-1005-s003.xlsx:SAMEA111533289
PRJEB36392	SAMEA111533291	host		human	per_sample	mgen-9-1005-s003.xlsx:SAMEA111533291
PRJEB36392	SAMEA111533293	host		human	per_sample	mgen-9-1005-s003.xlsx:SAMEA111533293
PRJEB36392	SAMEA111533295	host		human	per_sample	mgen-9-1005-s003.xlsx:SAMEA111533295
PRJEB36392	SAMEA8550523	host		human	per_sample	mgen-9-1005-s003.xlsx:SAMEA8550523
PRJEB39942	SAMEA7198846	collection_date	2019-05	2019-05-01 00:00:00	per_sample	mgen-7-0509-s002.xlsx:ERS4959068
PRJEB39942	SAMEA7198797	isolation_source		Hospital	per_sample	mgen-7-0509-s002.xlsx:ERS4959019
PRJEB39942	SAMEA7198798	isolation_source		Hospital	per_sample	mgen-7-0509-s002.xlsx:ERS4959020
PRJEB39942	SAMEA7198799	isolation_source		Hospital	per_sample	mgen-7-0509-s002.xlsx:ERS4959021
PRJEB39942	SAMEA7198800	isolation_source		Hospital	per_sample	mgen-7-0509-s002.xlsx:ERS4959022
PRJEB39942	SAMEA7198801	isolation_source		Hospital	per_sample	mgen-7-0509-s002.xlsx:ERS4959023
PRJEB39942	SAMEA7198802	isolation_source		Hospital	per_sample	mgen-7-0509-s002.xlsx:ERS4959024
PRJEB39942	SAMEA7198803	isolation_source		Hospital	per_sample	mgen-7-0509-s002.xlsx:ERS4959025
PRJEB39942	SAMEA7198804	isolation_source		Hospital	per_sample	mgen-7-0509-s002.xlsx:ERS4959026
PRJEB39942	SAMEA7198805	isolation_source		Hospital	per_sample	mgen-7-0509-s002.xlsx:ERS4959027
PRJEB39942	SAMEA7198808	isolation_source		Hospital	per_sample	mgen-7-0509-s002.xlsx:ERS4959030
PRJEB39942	SAMEA7198806	isolation_source		Hospital	per_sample	mgen-7-0509-s002.xlsx:ERS4959028
PRJEB39942	SAMEA7198807	isolation_source		Hospital	per_sample	mgen-7-0509-s002.xlsx:ERS4959029
PRJEB39942	SAMEA7198848	isolation_source		WWTP	per_sample	mgen-7-0509-s002.xlsx:ERS4959070
PRJEB39942	SAMEA7198849	isolation_source		WWTP	per_sample	mgen-7-0509-s002.xlsx:ERS4959071
PRJEB39942	SAMEA7198847	isolation_source		WWTP	per_sample	mgen-7-0509-s002.xlsx:ERS4959069
PRJEB39942	SAMEA7198850	isolation_source		WWTP	per_sample	mgen-7-0509-s002.xlsx:ERS4959072
PRJEB39942	SAMEA7198851	isolation_source		WWTP	per_sample	mgen-7-0509-s002.xlsx:ERS4959073
PRJEB39942	SAMEA7198852	isolation_source		WWTP	per_sample	mgen-7-0509-s002.xlsx:ERS4959074
PRJEB39942	SAMEA7198853	isolation_source		WWTP	per_sample	mgen-7-0509-s002.xlsx:ERS4959075
PRJEB39942	SAMEA7198854	isolation_source		WWTP	per_sample	mgen-7-0509-s002.xlsx:ERS4959076
PRJEB39942	SAMEA7198855	isolation_source		WWTP	per_sample	mgen-7-0509-s002.xlsx:ERS4959077
PRJEB39942	SAMEA7198856	isolation_source		WWTP	per_sample	mgen-7-0509-s002.xlsx:ERS4959078
PRJEB39942	SAMEA7198857	isolation_source		WWTP	per_sample	mgen-7-0509-s002.xlsx:ERS4959079
PRJEB39942	SAMEA7198811	isolation_source		Hospital	per_sample	mgen-7-0509-s002.xlsx:ERS4959033
PRJEB39942	SAMEA7198812	isolation_source		Hospital	per_sample	mgen-7-0509-s002.xlsx:ERS4959034
PRJEB39942	SAMEA7198821	isolation_source		Hospital	per_sample	mgen-7-0509-s002.xlsx:ERS4959043
PRJEB39942	SAMEA7198809	isolation_source		Hospital	per_sample	mgen-7-0509-s002.xlsx:ERS4959031
PRJEB39942	SAMEA7198813	isolation_source		Hospital	per_sample	mgen-7-0509-s002.xlsx:ERS4959035
PRJEB39942	SAMEA7198814	isolation_source		Hospital	per_sample	mgen-7-0509-s002.xlsx:ERS4959036
PRJEB39942	SAMEA7198819	isolation_source		Hospital	per_sample	mgen-7-0509-s002.xlsx:ERS4959041
PRJEB39942	SAMEA7198815	isolation_source		Hospital	per_sample	mgen-7-0509-s002.xlsx:ERS4959037
PRJEB39942	SAMEA7198820	isolation_source		Hospital	per_sample	mgen-7-0509-s002.xlsx:ERS4959042
PRJEB39942	SAMEA7198816	isolation_source		Hospital	per_sample	mgen-7-0509-s002.xlsx:ERS4959038
PRJEB39942	SAMEA7198810	isolation_source		Hospital	per_sample	mgen-7-0509-s002.xlsx:ERS4959032
PRJEB39942	SAMEA7198817	isolation_source		Hospital	per_sample	mgen-7-0509-s002.xlsx:ERS4959039
PRJEB39942	SAMEA7198818	isolation_source		Hospital	per_sample	mgen-7-0509-s002.xlsx:ERS4959040
PRJEB39942	SAMEA7198822	isolation_source		Hospital	per_sample	mgen-7-0509-s002.xlsx:ERS4959044
PRJEB39942	SAMEA7198823	isolation_source		Hospital	per_sample	mgen-7-0509-s002.xlsx:ERS4959045
PRJEB39942	SAMEA7198860	isolation_source		WWTP	per_sample	mgen-7-0509-s002.xlsx:ERS4959082
