study_accession	sample_accession	field	ena_value	filled_value	source
PRJEB29740	SAMEA9800408	country		India	per_sample
PRJEB29740	SAMEA9800411	country		India	per_sample
PRJEB29740	SAMEA9800401	country		India	per_sample
PRJEB29740	SAMEA9800413	country		India	per_sample
PRJEB29740	SAMEA9800400	country		India	per_sample
PRJEB29740	SAMEA9800414	country		India	per_sample
PRJEB29740	SAMEA9800409	country		India	per_sample
PRJEB29740	SAMEA9800415	country		India	per_sample
PRJEB29740	SAMEA9800410	country		India	per_sample
PRJEB29740	SAMEA9800422	country		India	per_sample
PRJEB29740	SAMEA9800426	country		India	per_sample
PRJEB29740	SAMEA9800423	country		India	per_sample
PRJEB29740	SAMEA9800424	country		India	per_sample
PRJEB29740	SAMEA9800429	country		India	per_sample
PRJEB29740	SAMEA9800443	country		India	per_sample
PRJEB29740	SAMEA9800436	country		India	per_sample
PRJEB29740	SAMEA9800444	country		India	per_sample
PRJEB29740	SAMEA9800451	country		India	per_sample
PRJEB29740	SAMEA9800452	country		India	per_sample
PRJEB29740	SAMEA9800588	country		India	per_sample
PRJEB29740	SAMEA9800591	country		India	per_sample
PRJEB29740	SAMEA9800455	country		India	per_sample
PRJEB29740	SAMEA9800602	country		India	whole_field
PRJEB37378	SAMEA10302774	country		Malawi	curator_escalation
PRJEB37378	SAMEA10302874	country		Malawi	curator_escalation
PRJEB37378	SAMEA10303422	country		Malawi	curator_escalation
PRJEB37378	SAMEA10303424	country		Malawi	curator_escalation
PRJEB37378	SAMEA10303427	country		Malawi	curator_escalation
PRJEB37378	SAMEA10303425	country		Malawi	curator_escalation
PRJEB37378	SAMEA10303426	country		Malawi	curator_escalation
PRJEB37378	SAMEA10303428	country		Malawi	curator_escalation
PRJEB37378	SAMEA10303429	country		Malawi	curator_escalation
PRJEB37378	SAMEA10302889	country		Malawi	curator_escalation
PRJEB37378	SAMEA10303431	country		Malawi	curator_escalation
PRJEB37378	SAMEA10303432	country		Malawi	curator_escalation
PRJEB37378	SAMEA10302893	country		Malawi	curator_escalation
PRJEB37378	SAMEA10303433	country		Malawi	curator_escalation
PRJEB37378	SAMEA10302894	country		Malawi	curator_escalation
PRJEB37378	SAMEA10302895	country		Malawi	curator_escalation
PRJEB37378	SAMEA10302584	country		Malawi	curator_escalation
PRJEB37378	SAMEA10303436	country		Malawi	curator_escalation
PRJEB37378	SAMEA10302903	country		Malawi	curator_escalation
PRJEB37378	SAMEA10302661	country		Malawi	curator_escalation
PRJEB37378	SAMEA10303441	country		Malawi	curator_escalation
PRJEB37378	SAMEA10302909	country		Malawi	curator_escalation
PRJEB37378	SAMEA10302666	country		Malawi	curator_escalation
PRJEB37378	SAMEA10303442	country		Malawi	curator_escalation
PRJEB37378	SAMEA10302668	country		Malawi	curator_escalation
PRJEB37378	SAMEA10303445	country		Malawi	curator_escalation
PRJEB37378	SAMEA10302921	country		Malawi	curator_escalation
PRJEB37378	SAMEA10303447	country		Malawi	curator_escalation
PRJEB37378	SAMEA10302671	country		Malawi	curator_escalation
PRJEB37378	SAMEA10302923	country		Malawi	curator_escalation
PRJEB37378	SAMEA10302672	country		Malawi	curator_escalation
PRJEB37378	SAMEA10302925	country		Malawi	curator_escalation
