study_accession	pmcid	table	method	n_samples	n_fills	confidence	note
PRJEB54568	PMC9554532	Table_1.XLSX	abstained	0	0	high	joinable tables are accession-manifest only (no field columns)
PRJEB56212	PMC9960421		abstained	0	0	none	no joinable table
PRJEB59013			NO_PMCID	0	0	none	no PMCID and no manual/committed supp table — cannot fetch supplementary; see missing-papers
PRJEB59858	PMC10021837		abstained	0	0	none	no joinable table
PRJEB60478	PMC8060595		abstained	0	0	none	no joinable table; field-bearing tables present but unanchored: ['mmc3.xlsx', 'mmc3.xlsx', 'mmc3.xlsx', 'mmc3.xlsx', 'mmc3.xlsx', 'mmc3.xlsx', 'mmc3.xlsx', 'mmc3.xlsx', 'mmc3.xlsx', 'mmc3.xlsx', 'mmc3.xlsx', 'mmc2.docx', 'mmc2.docx']
PRJEB60743			NO_PMCID	0	0	none	no PMCID and no manual/committed supp table — cannot fetch supplementary; see missing-papers
PRJEB62836	PMC11092894	Table_1.XLSX	direct	48	48	high	mapped 48 samples, 192 cell-fills; overwrite guard: 48/192 fills kept; kept ENA over table on country×48, collection_date×48, isolation_source×48
PRJEB64632	PMC10915899		abstained	0	0	none	no joinable table
PRJEB64775	PMC10829384	13756_2024_1370_MOESM1_ESM.xlsx	abstained	0	0	high	joinable tables are accession-manifest only (no field columns); no bridge to field tables ['13756_2024_1370_MOESM2_ESM.xlsx']
PRJEB6688	PMC4214299		abstained	0	0	none	no joinable table
PRJEB67940	PMC10924313	13756_2024_1386_MOESM1_ESM.xlsx	direct	36	36	high	mapped 36 samples, 72 cell-fills; overwrite guard: 36/72 fills kept; kept ENA over table on collection_date×36
PRJEB73547			NO_PMCID	0	0	none	no PMCID and no manual/committed supp table — cannot fetch supplementary; see missing-papers
PRJEB76256	PMC11760810	mmc1.xlsx	direct	30	89	high	mapped 30 samples, 89 cell-fills; rescued ['host=vocab']
PRJEB76311	PMC11471225	mmc1.xlsx	direct	49	97	medium	mapped 49 samples, 147 cell-fills; overwrite guard: 97/147 fills kept; overwrote collection_date×48(more-specific); kept ENA over table on isolation_source×49; dropped 1 invalid ({'collection_date': 1})
PRJEB76496	PMC11834398	msystems.01128-24-s0008.xlsx	direct	46	46	high	mapped 46 samples, 92 cell-fills; overwrite guard: 46/92 fills kept; overwrote collection_date×46(more-specific); kept ENA over table on isolation_source×46
PRJEB8766	PMC6938978	ciz174_suppl_supplementary_table_1.xlsx	direct	24	48	medium	mapped 24 samples, 48 cell-fills; rescued ['host=vocab']; value-check rejected ['host']
PRJEB9147	PMC4896371		abstained	0	0	none	no joinable table
PRJNA1000963	PMC8084501		abstained	0	0	none	no joinable table; field-bearing tables present but unanchored: ['20-3662-Techapp-s1.pdf']
PRJNA1071125	PMC11492754		abstained	0	0	none	no joinable table; field-bearing tables present but unanchored: ['12864_2024_10661_MOESM2_ESM.xlsx']
PRJNA1092272	PMC11369815		abstained	0	0	none	no joinable table
PRJNA1092662			NO_PMCID	0	0	none	no PMCID and no manual/committed supp table — cannot fetch supplementary; see missing-papers
PRJNA1114318	PMC11616059	mmc2.xlsx	direct	34	33	high	mapped 34 samples, 34 cell-fills; overwrite guard: 33/34 fills kept; kept ENA over table on collection_date×1
PRJNA1122997	PMC12951928	12866_2026_4741_MOESM1_ESM.xlsx	direct	29	28	high	mapped 29 samples, 58 cell-fills; overwrite guard: 28/58 fills kept; kept ENA over table on collection_date×29; dropped 1 invalid ({'isolation_source': 1})
PRJNA261540	PMC4451916		abstained	0	0	none	no joinable table
PRJNA278293			NO_PMCID	0	0	none	no PMCID and no manual/committed supp table — cannot fetch supplementary; see missing-papers
PRJNA292902			NO_PMCID	0	0	none	no PMCID and no manual/committed supp table — cannot fetch supplementary; see missing-papers
PRJNA292904	PMC5442553		abstained	0	0	none	no joinable table
PRJNA351910	PMC4942785		abstained	0	0	none	no joinable table
PRJNA390933			NO_PMCID	0	0	none	no PMCID and no manual/committed supp table — cannot fetch supplementary; see missing-papers
PRJNA449293	PMC7047997	Data_Sheet_1.xlsx	direct	45	45	high	mapped 45 samples, 90 cell-fills; overwrite guard: 45/90 fills kept; kept ENA over table on collection_date×45
PRJNA497126	PMC6783542	41467_2019_12563_MOESM4_ESM.xlsx	abstained	35	0	medium	mapped 35 samples, 72 cell-fills; rescued ['country=vocab']; value-check rejected ['collection_date']; overwrite guard: 0/72 fills kept; kept ENA over table on isolation_source×36, country×36
PRJNA508406	PMC8072773		abstained	0	0	none	no joinable table
PRJNA527021			NO_PMCID	0	0	none	no PMCID and no manual/committed supp table — cannot fetch supplementary; see missing-papers
PRJNA552297	PMC6867876	mSystems.00465-19-st009.xlsx	abstained	0	0	high	joinable tables are accession-manifest only (no field columns); no bridge to field tables ['mSystems.00465-19-st005.xlsx', 'mSystems.00465-19-st008.pdf', 'mSystems.00465-19-st008.pdf']
PRJNA552385	PMC8049106		abstained	0	0	none	no joinable table
PRJNA563817			NO_PMCID	0	0	none	no PMCID and no manual/committed supp table — cannot fetch supplementary; see missing-papers
PRJNA575579	PMC7549996	KVIR_A_1809322_SM9175.xlsx	direct	49	49	high	mapped 49 samples, 49 cell-fills
PRJNA631924			NO_PMCID	0	0	none	no PMCID and no manual/committed supp table — cannot fetch supplementary; see missing-papers
PRJNA646592	PMC9790207		abstained	0	0	none	no joinable table
PRJNA715470	PMC6986821		abstained	0	0	none	no joinable table
PRJNA728968			NO_PMCID	0	0	none	no PMCID and no manual/committed supp table — cannot fetch supplementary; see missing-papers
PRJNA739636			NO_PMCID	0	0	none	no PMCID and no manual/committed supp table — cannot fetch supplementary; see missing-papers
PRJNA741123	PMC9160058	43856_2022_124_MOESM2_ESM.xlsx	direct	31	62	medium	mapped 31 samples, 72 cell-fills; rescued ['collection_date=verbatim', 'host=vocab']; value-check rejected ['collection_date']; overwrite guard: 62/72 fills kept; overwrote isolation_source×31(The ENA values are internal samp); dropped 10 invalid ({'collection_date': 10})
PRJNA744003	PMC8462332	21-1265-Techapp-s1.pdf	direct	22	16	high	mapped 22 samples, 22 cell-fills; overwrite guard: 16/22 fills kept; overwrote country×16(ENA assigns 'Switzerland' to all); dropped 6 invalid ({'country': 6})
PRJNA744405	PMC8760991		abstained	0	0	none	no joinable table
PRJNA744889			NO_PMCID	0	0	none	no PMCID and no manual/committed supp table — cannot fetch supplementary; see missing-papers
PRJNA767190	PMC8597650		abstained	0	0	none	no joinable table
PRJNA768294	PMC9104693	supp_gr.276289.121_Supplemental_Table_S1.xlsx	abstained	29	0	high	mapped 29 samples, 106 cell-fills; overwrite guard: 0/106 fills kept; kept ENA over table on country×27, collection_date×26, isolation_source×19, host×29; dropped 5 invalid ({'country': 2, 'collection_date': 3})
PRJNA770840	PMC9798552		abstained	0	0	none	no joinable table
PRJNA814816			NO_PMCID	0	0	none	no PMCID and no manual/committed supp table — cannot fetch supplementary; see missing-papers
PRJNA842739			NO_PMCID	0	0	none	no PMCID and no manual/committed supp table — cannot fetch supplementary; see missing-papers
PRJNA857525			NO_PMCID	0	0	none	no PMCID and no manual/committed supp table — cannot fetch supplementary; see missing-papers
PRJNA858823			NO_PMCID	0	0	none	no PMCID and no manual/committed supp table — cannot fetch supplementary; see missing-papers
PRJNA868296	PMC10469867		abstained	0	0	none	no joinable table; field-bearing tables present but unanchored: ['msystems.00206-23-s0008.docx', 'reviewer-comments.pdf', 'reviewer-comments.pdf', 'reviewer-comments.pdf', 'reviewer-comments.pdf', 'msystems.00206-23-s0010.xlsx', 'msystems.00206-23-s0010.xlsx', 'msystems.00206-23-s0010.xlsx', 'msystems.00206-23-s0010.xlsx', 'msystems.00206-23-s0010.xlsx', 'msystems.00206-23-s0010.xlsx', 'msystems.00206-23-s0010.xlsx', 'msystems.00206-23-s0010.xlsx']
PRJNA890192	PMC10019205		abstained	0	0	none	no joinable table
PRJNA922161	PMC9862994		abstained	0	0	none	no joinable table
PRJNA925315	PMC10193520		abstained	0	0	none	no joinable table; field-bearing tables present but unanchored: ['media-1.pdf', 'media-1.pdf', 'media-1.pdf']
PRJNA984451	PMC10532110		abstained	0	0	none	no joinable table
PRJNA986308			NO_PMCID	0	0	none	no PMCID and no manual/committed supp table — cannot fetch supplementary; see missing-papers
