study_accession	paper_short_title	n_isolates	fold	seed
PRJDB15972		2	sub10	
PRJNA494608		2	sub10	
PRJNA353060,PRJNA246471		2	sub10	
PRJEB60070		2	sub10	
PRJNA799011		2	sub10	
PRJNA254477		2	sub10	
PRJNA667843		2	sub10	
PRJEB61973		2	sub10	
PRJNA545765		2	sub10	
PRJEB36448		2	sub10	
PRJEB32059		2	sub10	
PRJNA593828		2	sub10	
PRJNA593956		2	sub10	
PRJNA1064853		2	sub10	
PRJNA719112		2	sub10	
PRJNA719938		2	sub10	
PRJEB60446		2	sub10	
PRJEB60429		2	sub10	
PRJNA684628		2	sub10	
PRJNA738811		2	sub10	
PRJNA475291		2	sub10	
PRJNA780904		2	sub10	
PRJNA689691		2	sub10	
PRJNA436343		2	sub10	
PRJEB75816		2	sub10	
PRJEB38442		2	sub10	
PRJNA1115910		2	sub10	
PRJEB10263		2	sub10	
PRJNA713498		2	sub10	
PRJNA1103093		2	sub10	
PRJNA974066		2	sub10	
PRJNA1101017		2	sub10	
PRJNA770882		2	sub10	
PRJEB8721		2	sub10	
PRJNA971755		2	sub10	
PRJEB75744		2	sub10	
PRJNA564977		2	sub10	
PRJEB71895		2	sub10	
PRJNA398291		2	sub10	
PRJNA530580		2	sub10	
PRJNA1123890		2	sub10	
PRJNA970235		2	sub10	
PRJNA401330		2	sub10	
PRJDB4694		2	sub10	
PRJNA411885		2	sub10	
PRJDB7545		2	sub10	
PRJNA549171		2	sub10	
PRJNA687279		2	sub10	
PRJNA788123		2	sub10	
PRJNA419295		2	sub10	
PRJNA419722		2	sub10	
PRJNA687492		2	sub10	
PRJEB25425		2	sub10	
PRJEB8771		2	sub10	
PRJNA612645		2	sub10	
PRJEB44490		2	sub10	
PRJEB3353		2	sub10	
PRJNA636827		2	sub10	
PRJNA645027		2	sub10	
PRJEB50707		2	sub10	
PRJNA628849		2	sub10	
PRJNA610429		2	sub10	
PRJNA837742		2	sub10	
PRJNA300270		2	sub10	
PRJEB44175		2	sub10	
PRJNA944929		2	sub10	
PRJEB44350		2	sub10	
PRJNA230968		2	sub10	
PRJNA230969		2	sub10	
PRJNA599529		2	sub10	
PRJNA840888		2	sub10	
PRJNA310664		2	sub10	
PRJNA293225		2	sub10	
PRJDB11627		2	sub10	
PRJNA884103		2	sub10	
PRJEB49171		2	sub10	
PRJEB44904		2	sub10	
PRJNA523425		2	sub10	
PRJEB4506		2	sub10	
PRJNA614638		2	sub10	
PRJNA516562		2	sub10	
PRJEB33365		2	sub10	
PRJEB18525		2	sub10	
PRJNA623051		2	sub10	
PRJEB46059		2	sub10	
PRJEB33694		2	sub10	
PRJNA874344		2	sub10	
PRJEB50806		2	sub10	
PRJNA833080		2	sub10	
PRJNA864766		2	sub10	
PRJNA749600		2	sub10	
PRJDB14713		2	sub10	
PRJNA819844		2	sub10	
PRJNA749815		2	sub10	
PRJEB41279		2	sub10	
PRJEB34867		2	sub10	
PRJNA632581		2	sub10	
PRJNA1034027		2	sub10	
PRJEB17631		2	sub10	
PRJDB9614		2	sub10	
PRJNA871216		2	sub10	
PRJEB21765		2	sub10	
PRJEB42295		2	sub10	
PRJEB58827		2	sub10	
PRJNA503785		2	sub10	
PRJNA646204		2	sub10	
PRJNA647060		2	sub10	
PRJEB24576		2	sub10	
PRJEB53051		2	sub10	
PRJEB51459		2	sub10	
PRJNA521445		2	sub10	
PRJNA728680		2	sub10	
PRJEB52722		2	sub10	
PRJNA627626		2	sub10	
PRJNA607402		2	sub10	
PRJNA1051122		2	sub10	
PRJNA316457		2	sub10	
PRJNA704902		1	sub10	
PRJNA971580		1	sub10	
PRJNA706398		1	sub10	
PRJNA715072		1	sub10	
PRJEB30599		1	sub10	
PRJNA706921		1	sub10	
PRJNA1100308		1	sub10	
PRJNA1088746		1	sub10	
PRJNA73843		1	sub10	
PRJNA714645		1	sub10	
PRJNA957334		1	sub10	
PRJNA736853		1	sub10	
PRJNA1088653		1	sub10	
PRJEB3215		1	sub10	
PRJNA721588		1	sub10	
PRJEB32402		1	sub10	
PRJDB2238		1	sub10	
PRJNA726340		1	sub10	
PRJNA728250		1	sub10	
PRJNA719009		1	sub10	
PRJNA1066419		1	sub10	
PRJNA966930		1	sub10	
PRJNA1072026		1	sub10	
PRJNA717148		1	sub10	
PRJEB33296		1	sub10	
PRJNA1048475		1	sub10	
PRJEB3184		1	sub10	
PRJNA1073544		1	sub10	
PRJNA716670		1	sub10	
PRJNA1075815		1	sub10	
PRJNA1077593		1	sub10	
PRJNA715927		1	sub10	
PRJNA95295		1	sub10	
PRJNA1044623		1	sub10	
PRJNA731002		1	sub10	
PRJNA715323		1	sub10	
PRJNA73191		1	sub10	
PRJNA1042619		1	sub10	
PRJNA1041718		1	sub10	
PRJNA735573		1	sub10	
PRJNA870883		1	sub10	
PRJEB15430		1	sub10	
PRJNA974969		1	sub10	
PRJNA183901		1	sub10	
PRJEB2581		1	sub10	
PRJNA187282		1	sub10	
PRJNA187281		1	sub10	
PRJNA187280		1	sub10	
PRJNA187279		1	sub10	
PRJNA989579		1	sub10	
PRJNA183930		1	sub10	
PRJEB28252		1	sub10	
PRJEB2801		1	sub10	
PRJEB28327		1	sub10	
PRJNA655367		1	sub10	
