study_accession	paper_short_title	n_isolates	fold	seed	ena_total_samples	ena_total_runs	ena_taxon_samples	n_child_studies	umbrella_suspected	by_scientific_name	fetch_status
PRJDB5117		4	sub10		4		4				proxy_rowcount
PRJNA1067287		4	sub10		4		4				proxy_rowcount
PRJNA622828		4	sub10		4		4				proxy_rowcount
PRJNA664586		4	sub10		4		4				proxy_rowcount
PRJNA982891		4	sub10		4		4				proxy_rowcount
PRJNA983061		4	sub10		4		4				proxy_rowcount
PRJNA531517		4	sub10		4		4				proxy_rowcount
PRJNA564151		4	sub10		4		4				proxy_rowcount
PRJNA723854		4	sub10		4		4				proxy_rowcount
PRJEB32700		4	sub10		4		4				proxy_rowcount
PRJNA953359		4	sub10		4		4				proxy_rowcount
PRJNA739632		4	sub10		4		4				proxy_rowcount
PRJNA736994		4	sub10		4		4				proxy_rowcount
PRJNA1037744		4	sub10		4		4				proxy_rowcount
PRJNA1102902		4	sub10		4		4				proxy_rowcount
PRJNA996143		4	sub10		4		4				proxy_rowcount
PRJNA639351		4	sub10		4		4				proxy_rowcount
PRJNA952959		4	sub10		4		4				proxy_rowcount
PRJNA673369		3	sub10		3		3				proxy_rowcount
PRJNA809422		3	sub10		3		3				proxy_rowcount
PRJNA354234		3	sub10		3		3				proxy_rowcount
PRJNA354216		3	sub10		3		3				proxy_rowcount
PRJEB13304		3	sub10		3		3				proxy_rowcount
PRJNA339728		3	sub10		3		3				proxy_rowcount
PRJNA357722		3	sub10		3		3				proxy_rowcount
PRJNA680857		3	sub10		3		3				proxy_rowcount
PRJNA641131		3	sub10		3		3				proxy_rowcount
PRJNA656584		3	sub10		3		3				proxy_rowcount
PRJNA843571		3	sub10		3		3				proxy_rowcount
PRJNA631981		3	sub10		3		3				proxy_rowcount
PRJNA636411		3	sub10		3		3				proxy_rowcount
PRJNA269984		3	sub10		3		3				proxy_rowcount
PRJNA860216		3	sub10		3		3				proxy_rowcount
PRJNA851446		3	sub10		3		3				proxy_rowcount
