sample_accession,Collection_date,Location,experiment_accession,isolation_source,study_accession,run_accession
SAMEA10330726,,,ERX11441865,,PRJEB42462,ERR12058700
SAMEA10330617,,,ERX11441727,,PRJEB42462,ERR12058562
SAMEA10330140,,,ERX11442115,,PRJEB42462,ERR12058950
SAMEA10331006,,,ERX11441384,,PRJEB42462,ERR12058219
SAMEA10331337,,,ERX11442639,,PRJEB42462,ERR12059474
SAMEA10331120,,,ERX11441525,,PRJEB42462,ERR12058360
SAMEA10330880,,,ERX11441449,,PRJEB42462,ERR12058284
SAMEA10330582,,,ERX11441971,,PRJEB42462,ERR12058806
SAMEA10330577,,,ERX11441943,,PRJEB42462,ERR12058778
SAMEA10331392,,,ERX11442571,,PRJEB42462,ERR12059406
SAMEA10330900,,,ERX11441354,,PRJEB42462,ERR12058189
SAMEA10330946,,,ERX11441516,,PRJEB42462,ERR12058351
SAMEA10331116,,,ERX11441520,,PRJEB42462,ERR12058355
SAMEA10331156,,,ERX11441635,,PRJEB42462,ERR12058470
SAMEA10331112,,,ERX11441496,,PRJEB42462,ERR12058331
SAMEA10330604,,,ERX11441687,,PRJEB42462,ERR12058522
SAMEA10330641,,,ERX11441817,,PRJEB42462,ERR12058652
SAMEA10330183,,,ERX11442217,,PRJEB42462,ERR12059052
SAMEA10330507,,,ERX11441903,,PRJEB42462,ERR12058738
SAMEA10330828,,,ERX11441892,,PRJEB42462,ERR12058727
SAMEA10330756,,,ERX11441988,,PRJEB42462,ERR12058823
SAMEA10330788,,,ERX11441741,,PRJEB42462,ERR12058576
SAMEA10331203,,,ERX11442546,,PRJEB42462,ERR12059381
SAMEA10331366,,,ERX11442519,,PRJEB42462,ERR12059354
SAMEA10330644,,,ERX11441838,,PRJEB42462,ERR12058673
SAMEA10331349,,,ERX11442483,,PRJEB42462,ERR12059318
SAMEA10330529,,,ERX11442167,,PRJEB42462,ERR12059002
SAMEA10330515,,,ERX11442475,,PRJEB42462,ERR12059310
SAMEA10330612,,,ERX11441717,,PRJEB42462,ERR12058552
SAMEA10330874,,,ERX11441422,,PRJEB42462,ERR12058257
SAMEA10330662,,,ERX11441906,,PRJEB42462,ERR12058741
SAMEA10331123,,,ERX11441527,,PRJEB42462,ERR12058362
SAMEA10331119,,,ERX11441522,,PRJEB42462,ERR12058357
SAMEA10330839,,,ERX11441928,,PRJEB42462,ERR12058763
SAMEA10330773,,,ERX11442037,,PRJEB42462,ERR12058872
SAMEA10330819,,,ERX11441856,,PRJEB42462,ERR12058691
SAMEA10330693,,,ERX11442017,,PRJEB42462,ERR12058852
SAMEA10330745,,,ERX11441951,,PRJEB42462,ERR12058786
SAMEA10330807,,,ERX11441805,,PRJEB42462,ERR12058640
SAMEA10330805,,,ERX11441801,,PRJEB42462,ERR12058636
SAMEA10331018,,,ERX11441509,,PRJEB42462,ERR12058344
SAMEA10330840,,,ERX11441932,,PRJEB42462,ERR12058767
SAMEA10331347,,,ERX11442485,,PRJEB42462,ERR12059320
SAMEA10330995,,,ERX11441349,,PRJEB42462,ERR12058184
SAMEA10331233,,,ERX11442607,,PRJEB42462,ERR12059442
SAMEA10331145,,,ERX11441603,,PRJEB42462,ERR12058438
SAMEA10330063,,,ERX11442042,,PRJEB42462,ERR12058877
SAMEA10330375,,,ERX11442274,,PRJEB42462,ERR12059109
SAMEA10330135,,,ERX11442110,,PRJEB42462,ERR12058945
SAMEA10330949,,,ERX11441533,,PRJEB42462,ERR12058368
SAMEA10330927,,,ERX11441470,,PRJEB42462,ERR12058305
SAMEA10331376,,,ERX11442541,,PRJEB42462,ERR12059376
SAMEA10330510,,,ERX11442455,,PRJEB42462,ERR12059290
SAMEA10330743,,,ERX11441931,,PRJEB42462,ERR12058766
SAMEA10330531,,,ERX11442171,,PRJEB42462,ERR12059006
SAMEA10330492,,,ERX11441841,,PRJEB42462,ERR12058676
SAMEA10331034,,,ERX11441563,,PRJEB42462,ERR12058398
SAMEA10330797,,,ERX11441771,,PRJEB42462,ERR12058606
SAMEA10331106,,,ERX11441486,,PRJEB42462,ERR12058321
SAMEA10330202,,,ERX11442124,,PRJEB42462,ERR12058959
SAMEA10330666,,,ERX11441914,,PRJEB42462,ERR12058749
SAMEA10331115,,,ERX11441518,,PRJEB42462,ERR12058353
SAMEA10331105,,,ERX11441466,,PRJEB42462,ERR12058301
SAMEA10330169,,,ERX11442159,,PRJEB42462,ERR12058994
SAMEA10331362,,,ERX11442511,,PRJEB42462,ERR12059346
SAMEA10330459,,,ERX11441722,,PRJEB42462,ERR12058557
SAMEA10331355,,,ERX11442499,,PRJEB42462,ERR12059334
SAMEA10331246,,,ERX11441372,,PRJEB42462,ERR12058207
SAMEA10331268,,,ERX11441461,,PRJEB42462,ERR12058296
SAMEA10330809,,,ERX11441824,,PRJEB42462,ERR12058659
SAMEA10330771,,,ERX11442035,,PRJEB42462,ERR12058870
SAMEA10330755,,,ERX11441986,,PRJEB42462,ERR12058821
SAMEA10330787,,,ERX11441737,,PRJEB42462,ERR12058572
SAMEA10331315,,,ERX11441628,,PRJEB42462,ERR12058463
SAMEA10330768,,,ERX11442032,,PRJEB42462,ERR12058867
SAMEA10330897,,,ERX11441352,,PRJEB42462,ERR12058187
SAMEA10330632,,,ERX11441784,,PRJEB42462,ERR12058619
SAMEA10330746,,,ERX11441953,,PRJEB42462,ERR12058788
SAMEA10330611,,,ERX11441697,,PRJEB42462,ERR12058532
SAMEA10330869,,,ERX11441825,,PRJEB42462,ERR12058660
SAMEA10331243,,,ERX11441367,,PRJEB42462,ERR12058202
SAMEA10330150,,,ERX11442460,,PRJEB42462,ERR12059295
SAMEA10330400,,,ERX11442392,,PRJEB42462,ERR12059227
SAMEA10330945,,,ERX11441514,,PRJEB42462,ERR12058349
SAMEA10330872,,,ERX11441418,,PRJEB42462,ERR12058253
SAMEA10331147,,,ERX11441608,,PRJEB42462,ERR12058443
SAMEA10331167,,,ERX11441677,,PRJEB42462,ERR12058512
SAMEA10330096,,,ERX11442072,,PRJEB42462,ERR12058907
SAMEA10330806,,,ERX11441803,,PRJEB42462,ERR12058638
SAMEA10330657,,,ERX11441880,,PRJEB42462,ERR12058715
SAMEA10331091,,,ERX11441425,,PRJEB42462,ERR12058260
SAMEA10331345,,,ERX11442645,,PRJEB42462,ERR12059480
SAMEA10330800,,,ERX11441792,,PRJEB42462,ERR12058627
SAMEA10330852,,,ERX11441982,,PRJEB42462,ERR12058817
SAMEA10331390,,,ERX11442567,,PRJEB42462,ERR12059402
SAMEA10331326,,,ERX11442624,,PRJEB42462,ERR12059459
SAMEA10330601,,,ERX11442026,,PRJEB42462,ERR12058861
SAMEA10331054,,,ERX11441623,,PRJEB42462,ERR12058458
SAMEA10331342,,,ERX11442647,,PRJEB42462,ERR12059482
SAMEA10330765,,,ERX11442013,,PRJEB42462,ERR12058848
SAMEA10330544,,,ERX11442229,,PRJEB42462,ERR12059064
SAMEA10330882,,,ERX11441453,,PRJEB42462,ERR12058288
SAMEA10330124,,,ERX11442099,,PRJEB42462,ERR12058934
SAMEA10330822,,,ERX11441860,,PRJEB42462,ERR12058695
SAMEA10330384,,,ERX11442326,,PRJEB42462,ERR12059161
SAMEA10330744,,,ERX11441949,,PRJEB42462,ERR12058784
SAMEA10330129,,,ERX11442104,,PRJEB42462,ERR12058939
SAMEA10330077,,,ERX11442052,,PRJEB42462,ERR12058887
SAMEA10331269,,,ERX11441463,,PRJEB42462,ERR12058298
SAMEA10330909,,,ERX11441383,,PRJEB42462,ERR12058218
SAMEA10331065,,,ERX11441665,,PRJEB42462,ERR12058500
SAMEA10331217,,,ERX11442578,,PRJEB42462,ERR12059413
SAMEA10331009,,,ERX11441392,,PRJEB42462,ERR12058227
SAMEA10331000,,,ERX11441359,,PRJEB42462,ERR12058194
SAMEA10330598,,,ERX11442018,,PRJEB42462,ERR12058853
SAMEA10331071,,,ERX11441673,,PRJEB42462,ERR12058508
SAMEA10331102,,,ERX11441460,,PRJEB42462,ERR12058295
SAMEA10330199,,,ERX11442118,,PRJEB42462,ERR12058953
SAMEA10330748,,,ERX11441957,,PRJEB42462,ERR12058792
SAMEA10330646,,,ERX11441842,,PRJEB42462,ERR12058677
SAMEA10331401,,,ERX11442589,,PRJEB42462,ERR12059424
SAMEA10331257,,,ERX11441430,,PRJEB42462,ERR12058265
SAMEA10331350,,,ERX11442489,,PRJEB42462,ERR12059324
SAMEA10330981,,,ERX11441640,,PRJEB42462,ERR12058475
SAMEA10330452,,,ERX11441692,,PRJEB42462,ERR12058527
SAMEA10331386,,,ERX11442559,,PRJEB42462,ERR12059394
SAMEA10331406,,,ERX11442599,,PRJEB42462,ERR12059434
SAMEA10331377,,,ERX11442539,,PRJEB42462,ERR12059374
SAMEA10331346,,,ERX11442481,,PRJEB42462,ERR12059316
SAMEA10331248,,,ERX11441374,,PRJEB42462,ERR12058209
SAMEA10331250,,,ERX11441396,,PRJEB42462,ERR12058231
SAMEA10330110,,,ERX11442084,,PRJEB42462,ERR12058919
SAMEA10330849,,,ERX11441744,,PRJEB42462,ERR12058579
SAMEA10330414,,,ERX11442430,,PRJEB42462,ERR12059265
SAMEA10330329,,,ERX11442459,,PRJEB42462,ERR12059294
SAMEA10330518,,,ERX11442478,,PRJEB42462,ERR12059313
SAMEA10330664,,,ERX11441908,,PRJEB42462,ERR12058743
