sample_accession,collection_date,country,HOST,experiment_alias,isolation_source,study_accession,run_accession
SAMEA7472277,2015-17,Ethiopia,Human,ERX4785346,Blood,PRJEB33565,ERR4920437
SAMEA7472300,2015-17,Ethiopia,Human,ERX4785360,Blood,PRJEB33565,ERR4920451
SAMEA7472437,2015-17,Nigeria,Human,ERX4785420,Blood,PRJEB33565,ERR4920511
SAMEA7472303,2015-17,Ethiopia,Human,ERX4785363,Blood,PRJEB33565,ERR4920454
SAMEA7472123,2015-17,Bangladesh,Human,ERX4785288,Blood,PRJEB33565,ERR4920379
SAMEA7472137,2015-17,Bangladesh,Human,ERX4785289,Blood,PRJEB33565,ERR4920380
SAMEA7472248,2015-17,Ethiopia,Human,ERX4785326,Blood,PRJEB33565,ERR4920417
SAMEA7472515,2015-17,Nigeria,Human,ERX4785455,Blood,PRJEB33565,ERR4920546
SAMEA7472247,2015-17,Ethiopia,Human,ERX4785325,Blood,PRJEB33565,ERR4920416
SAMEA7472327,2015-17,Ethiopia,Human,ERX4785383,Blood,PRJEB33565,ERR4920474
SAMEA7472930,2015-17,South Africa,Human,ERX4785530,Blood,PRJEB33565,ERR4920621
SAMEA7472220,2015-17,Ethiopia,Human,ERX4785303,Blood,PRJEB33565,ERR4920394
SAMEA7472286,2015-17,Ethiopia,Human,ERX4785350,Blood,PRJEB33565,ERR4920441
SAMEA7472239,2015-17,Ethiopia,Human,ERX4785317,Blood,PRJEB33565,ERR4920408
SAMEA7472296,2015-17,Ethiopia,Human,ERX4785358,Blood,PRJEB33565,ERR4920449
SAMEA7472242,2015-17,Ethiopia,Human,ERX4785320,Blood,PRJEB33565,ERR4920411
SAMEA7472191,2015-17,Bangladesh,Human,ERX4785296,Blood,PRJEB33565,ERR4920387
SAMEA7472865,2015-17,Rwanda,Human,ERX4785505,Blood,PRJEB33565,ERR4920596
SAMEA7472673,2015-17,Pakistan,Human,ERX4785485,Blood,PRJEB33565,ERR4920576
SAMEA7472599,2015-17,Pakistan,Human,ERX4785471,Blood,PRJEB33565,ERR4920562
SAMEA7472322,2015-17,Ethiopia,Human,ERX4785379,Blood,PRJEB33565,ERR4920470
SAMEA7472908,2015-17,Rwanda,Human,ERX4785520,Blood,PRJEB33565,ERR4920611
SAMEA7472870,2015-17,Rwanda,Human,ERX4785509,Blood,PRJEB33565,ERR4920600
SAMEA7472813,2015-17,Pakistan,Human,ERX4785499,Blood,PRJEB33565,ERR4920590
SAMEA7472334,2015-17,Ethiopia,Human,ERX4785390,Blood,PRJEB33565,ERR4920481
SAMEA7472041,2015-17,Bangladesh,Human,ERX4785281,Blood,PRJEB33565,ERR4920372
SAMEA7472898,2015-17,Rwanda,Human,ERX4785518,Blood,PRJEB33565,ERR4920609
SAMEA7472632,2015-17,Pakistan,Human,ERX4785478,Blood,PRJEB33565,ERR4920569
SAMEA7472512,2015-17,Nigeria,Human,ERX4785454,Blood,PRJEB33565,ERR4920545
SAMEA7472319,2015-17,Ethiopia,Human,ERX4785376,Blood,PRJEB33565,ERR4920467
SAMEA7472585,2015-17,Pakistan,Human,ERX4785468,Blood,PRJEB33565,ERR4920559
SAMEA7472528,2015-17,Pakistan,Human,ERX4785458,Blood,PRJEB33565,ERR4920549
SAMEA7472338,2015-17,Ethiopia,Human,ERX4785394,Blood,PRJEB33565,ERR4920485
SAMEA7472949,2015-17,South Africa,Human,ERX4785538,Blood,PRJEB33565,ERR4920629
SAMEA7472350,2015-17,India,Human,ERX4785398,Blood,PRJEB33565,ERR4920489
SAMEA7472872,2015-17,Rwanda,Human,ERX4785511,Blood,PRJEB33565,ERR4920602
SAMEA7472332,2015-17,Ethiopia,Human,ERX4785388,Blood,PRJEB33565,ERR4920479
SAMEA7472751,2015-17,Pakistan,Human,ERX4785494,Blood,PRJEB33565,ERR4920585
SAMEA7472181,2015-17,Bangladesh,Human,ERX4785295,Blood,PRJEB33565,ERR4920386
SAMEA7472256,2015-17,Ethiopia,Human,ERX4785331,Blood,PRJEB33565,ERR4920422
SAMEA7472871,2015-17,Rwanda,Human,ERX4785510,Blood,PRJEB33565,ERR4920601
SAMEA7472278,2015-17,Ethiopia,Human,ERX4785347,Blood,PRJEB33565,ERR4920438
SAMEA7472165,2015-17,Bangladesh,Human,ERX4785291,Blood,PRJEB33565,ERR4920382
SAMEA7472736,2015-17,Pakistan,Human,ERX4785491,Blood,PRJEB33565,ERR4920582
SAMEA7472689,2015-17,Pakistan,Human,ERX4785487,Blood,PRJEB33565,ERR4920578
SAMEA7472729,2015-17,Pakistan,Human,ERX4785490,Blood,PRJEB33565,ERR4920581
SAMEA9449389,2016,Zambia,Human,ERX5981492,Blood,PRJEB46513,ERR6349917
SAMEA9449388,2016,Zambia,Human,ERX5981491,Blood,PRJEB46513,ERR6349916
SAMEA9449364,2016,Zambia,Human,ERX5981499,Blood,PRJEB46513,ERR6349924
SAMEA9449372,2016,Zambia,Human,ERX5981507,Blood,PRJEB46513,ERR6349932
SAMEA9449366,2016,Zambia,Human,ERX5981501,Blood,PRJEB46513,ERR6349926
SAMEA9449363,2016,Zambia,Human,ERX5981498,Blood,PRJEB46513,ERR6349923
SAMEA9449369,2016,Zambia,Human,ERX5981504,Blood,PRJEB46513,ERR6349929
SAMEA9449391,2016,Zambia,Human,ERX5981495,Blood,PRJEB46513,ERR6349920
SAMEA9449365,2016,Zambia,Human,ERX5981500,Blood,PRJEB46513,ERR6349925
SAMEA9449368,2016,Zambia,Human,ERX5981503,Blood,PRJEB46513,ERR6349928
SAMEA9449371,2016,Zambia,Human,ERX5981506,Blood,PRJEB46513,ERR6349931
SAMEA9449367,2016,Zambia,Human,ERX5981502,Blood,PRJEB46513,ERR6349927
SAMEA9449362,2016,Zambia,Human,ERX5981497,Blood,PRJEB46513,ERR6349922
SAMEA9449390,2016,Zambia,Human,ERX5981494,Blood,PRJEB46513,ERR6349919
SAMEA9449370,2016,Zambia,Human,ERX5981505,Blood,PRJEB46513,ERR6349930
SAMEA9449535,2016,Zambia,Human,ERX5982433,Blood,PRJEB46513,ERR6350858
SAMEA9449569,2016,Zambia,Human,ERX5982467,Blood,PRJEB46513,ERR6350892
SAMEA9449435,2016,Zambia,Human,ERX5982332,Blood,PRJEB46513,ERR6350757
SAMEA9449463,2016,Zambia,Human,ERX5982360,Blood,PRJEB46513,ERR6350785
SAMEA9449494,2016,Zambia,Human,ERX5982391,Blood,PRJEB46513,ERR6350816
SAMEA9449432,2016,Zambia,Human,ERX5981791,Blood,PRJEB46513,ERR6350216
SAMEA9449397,2016,Zambia,Human,ERX5981719,Blood,PRJEB46513,ERR6350144
SAMEA9449455,2016,Zambia,Human,ERX5982351,Blood,PRJEB46513,ERR6350776
SAMEA9449560,2016,Zambia,Human,ERX5982458,Blood,PRJEB46513,ERR6350883
SAMEA9449623,2016,Zambia,Human,ERX5982586,Blood,PRJEB46513,ERR6351011
SAMEA9449611,2016,Zambia,Human,ERX5982509,Blood,PRJEB46513,ERR6350934
SAMEA9449565,2016,Zambia,Human,ERX5982463,Blood,PRJEB46513,ERR6350888
SAMEA9449427,2016,Zambia,Human,ERX5981787,Blood,PRJEB46513,ERR6350212
SAMEA9449402,2016,Zambia,Human,ERX5981724,Blood,PRJEB46513,ERR6350149
SAMEA9449428,2016,Zambia,Human,ERX5981784,Blood,PRJEB46513,ERR6350209
SAMEA9449531,2016,Zambia,Human,ERX5982429,Blood,PRJEB46513,ERR6350854
SAMEA9449472,2016,Zambia,Human,ERX5982371,Blood,PRJEB46513,ERR6350796
SAMEA9449598,2016,Zambia,Human,ERX5982497,Blood,PRJEB46513,ERR6350922
SAMEA9449567,2016,Zambia,Human,ERX5982465,Blood,PRJEB46513,ERR6350890
SAMEA9449624,2016,Zambia,Human,ERX5982587,Blood,PRJEB46513,ERR6351012
SAMEA9449400,2016,Zambia,Human,ERX5981722,Blood,PRJEB46513,ERR6350147
SAMEA9449592,2016,Zambia,Human,ERX5982491,Blood,PRJEB46513,ERR6350916
SAMEA9449564,2016,Zambia,Human,ERX5982462,Blood,PRJEB46513,ERR6350887
SAMEA9449383,2016,Zambia,Human,ERX5981710,Blood,PRJEB46513,ERR6350135
SAMEA9449450,2016,Zambia,Human,ERX5982347,Blood,PRJEB46513,ERR6350772
SAMEA9449475,2016,Zambia,Human,ERX5982372,Blood,PRJEB46513,ERR6350797
SAMEA9449452,2016,Zambia,Human,ERX5982349,Blood,PRJEB46513,ERR6350774
SAMEA9449634,2016,Zambia,Human,ERX5982598,Blood,PRJEB46513,ERR6351023
SAMEA9449618,2016,Zambia,Human,ERX5982581,Blood,PRJEB46513,ERR6351006
SAMEA9449530,2016,Zambia,Human,ERX5982428,Blood,PRJEB46513,ERR6350853
SAMEA9449465,2016,Zambia,Human,ERX5982362,Blood,PRJEB46513,ERR6350787
SAMEA9449584,2016,Zambia,Human,ERX5982483,Blood,PRJEB46513,ERR6350908
SAMEA9449499,2016,Zambia,Human,ERX5982397,Blood,PRJEB46513,ERR6350822
SAMEA9449404,2016,Zambia,Human,ERX5981726,Blood,PRJEB46513,ERR6350151
SAMEA9449534,2016,Zambia,Human,ERX5982432,Blood,PRJEB46513,ERR6350857
SAMEA9449518,2016,Zambia,Human,ERX5982416,Blood,PRJEB46513,ERR6350841
SAMEA9449594,2016,Zambia,Human,ERX5982493,Blood,PRJEB46513,ERR6350918
SAMEA9449635,2016,Zambia,Human,ERX5982599,Blood,PRJEB46513,ERR6351024
SAMEA9449473,2016,Zambia,Human,ERX5982370,Blood,PRJEB46513,ERR6350795
SAMEA9449470,2016,Zambia,Human,ERX5982368,Blood,PRJEB46513,ERR6350793
SAMEA9449610,2016,Zambia,Human,ERX5982510,Blood,PRJEB46513,ERR6350935
SAMEA9449457,2016,Zambia,Human,ERX5982354,Blood,PRJEB46513,ERR6350779
SAMEA9449498,2016,Zambia,Human,ERX5982396,Blood,PRJEB46513,ERR6350821
SAMEA9449587,2016,Zambia,Human,ERX5982486,Blood,PRJEB46513,ERR6350911
SAMEA9449590,2016,Zambia,Human,ERX5982489,Blood,PRJEB46513,ERR6350914
SAMEA9449430,2016,Zambia,Human,ERX5981789,Blood,PRJEB46513,ERR6350214
SAMEA9449581,2016,Zambia,Human,ERX5982480,Blood,PRJEB46513,ERR6350905
SAMEA9449578,2016,Zambia,Human,ERX5982476,Blood,PRJEB46513,ERR6350901
SAMEA9449407,2016,Zambia,Human,ERX5981729,Blood,PRJEB46513,ERR6350154
SAMEA9449520,2016,Zambia,Human,ERX5982418,Blood,PRJEB46513,ERR6350843
SAMEA9449562,2016,Zambia,Human,ERX5982460,Blood,PRJEB46513,ERR6350885
SAMEA9449543,2016,Zambia,Human,ERX5982441,Blood,PRJEB46513,ERR6350866
SAMEA9449431,2016,Zambia,Human,ERX5981790,Blood,PRJEB46513,ERR6350215
SAMEA9449384,2016,Zambia,Human,ERX5981711,Blood,PRJEB46513,ERR6350136
SAMEA9449464,2016,Zambia,Human,ERX5982361,Blood,PRJEB46513,ERR6350786
SAMEA9449552,2016,Zambia,Human,ERX5982450,Blood,PRJEB46513,ERR6350875
SAMEA9449566,2016,Zambia,Human,ERX5982464,Blood,PRJEB46513,ERR6350889
SAMEA9449415,2016,Zambia,Human,ERX5981772,Blood,PRJEB46513,ERR6350197
SAMEA9449412,2016,Zambia,Human,ERX5981770,Blood,PRJEB46513,ERR6350195
SAMEA9449546,2016,Zambia,Human,ERX5982444,Blood,PRJEB46513,ERR6350869
SAMEA9449377,2016,Zambia,Human,ERX5981512,Blood,PRJEB46513,ERR6349937
SAMEA9449601,2016,Zambia,Human,ERX5982500,Blood,PRJEB46513,ERR6350925
SAMEA9449613,2016,Zambia,Human,ERX5982576,Blood,PRJEB46513,ERR6351001
SAMEA9449585,2016,Zambia,Human,ERX5982484,Blood,PRJEB46513,ERR6350909
SAMEA9449542,2016,Zambia,Human,ERX5982440,Blood,PRJEB46513,ERR6350865
SAMEA9449378,2016,Zambia,Human,ERX5981705,Blood,PRJEB46513,ERR6350130
SAMEA9449616,2016,Zambia,Human,ERX5982578,Blood,PRJEB46513,ERR6351003
SAMEA9449517,2016,Zambia,Human,ERX5982415,Blood,PRJEB46513,ERR6350840
SAMEA9449493,2016,Zambia,Human,ERX5982390,Blood,PRJEB46513,ERR6350815
SAMEA9449436,2016,Zambia,Human,ERX5982333,Blood,PRJEB46513,ERR6350758
SAMEA9449607,2016,Zambia,Human,ERX5982507,Blood,PRJEB46513,ERR6350932
SAMEA9449519,2016,Zambia,Human,ERX5982417,Blood,PRJEB46513,ERR6350842
SAMEA9449480,2016,Zambia,Human,ERX5982377,Blood,PRJEB46513,ERR6350802
SAMEA9449446,2016,Zambia,Human,ERX5982343,Blood,PRJEB46513,ERR6350768
SAMEA9449421,2016,Zambia,Human,ERX5981779,Blood,PRJEB46513,ERR6350204
SAMEA9449380,2016,Zambia,Human,ERX5981707,Blood,PRJEB46513,ERR6350132
SAMEA9449406,2016,Zambia,Human,ERX5981728,Blood,PRJEB46513,ERR6350153
SAMEA9449526,2016,Zambia,Human,ERX5982424,Blood,PRJEB46513,ERR6350849
SAMEA9449579,2016,Zambia,Human,ERX5982477,Blood,PRJEB46513,ERR6350902
SAMEA9449602,2016,Zambia,Human,ERX5982502,Blood,PRJEB46513,ERR6350927
SAMEA9449514,2016,Zambia,Human,ERX5982412,Blood,PRJEB46513,ERR6350837
SAMEA9449636,2016,Zambia,Human,ERX5982600,Blood,PRJEB46513,ERR6351025
SAMEA9449583,2016,Zambia,Human,ERX5982482,Blood,PRJEB46513,ERR6350907
SAMEA9449512,2016,Zambia,Human,ERX5982410,Blood,PRJEB46513,ERR6350835
SAMEA9449555,2016,Zambia,Human,ERX5982453,Blood,PRJEB46513,ERR6350878
SAMEA9449527,2016,Zambia,Human,ERX5982425,Blood,PRJEB46513,ERR6350850
SAMEA9449376,2016,Zambia,Human,ERX5981511,Blood,PRJEB46513,ERR6349936
SAMEA9449483,2016,Zambia,Human,ERX5982380,Blood,PRJEB46513,ERR6350805
SAMEA9449379,2016,Zambia,Human,ERX5981706,Blood,PRJEB46513,ERR6350131
SAMEA9449393,2016,Zambia,Human,ERX5981715,Blood,PRJEB46513,ERR6350140
SAMEA9449447,2016,Zambia,Human,ERX5982344,Blood,PRJEB46513,ERR6350769
SAMEA9449381,2016,Zambia,Human,ERX5981708,Blood,PRJEB46513,ERR6350133
SAMEA9449414,2016,Zambia,Human,ERX5981773,Blood,PRJEB46513,ERR6350198
SAMEA9449609,2016,Zambia,Human,ERX5982508,Blood,PRJEB46513,ERR6350933
SAMEA9449453,2016,Zambia,Human,ERX5982350,Blood,PRJEB46513,ERR6350775
SAMEA9449553,2016,Zambia,Human,ERX5982451,Blood,PRJEB46513,ERR6350876
SAMEA9449433,2016,Zambia,Human,ERX5981792,Blood,PRJEB46513,ERR6350217
SAMEA9449524,2016,Zambia,Human,ERX5982422,Blood,PRJEB46513,ERR6350847
SAMEA9449460,2016,Zambia,Human,ERX5982357,Blood,PRJEB46513,ERR6350782
SAMEA9449448,2016,Zambia,Human,ERX5982345,Blood,PRJEB46513,ERR6350770
SAMEA9449441,2016,Zambia,Human,ERX5982338,Blood,PRJEB46513,ERR6350763
SAMEA9449396,2016,Zambia,Human,ERX5981718,Blood,PRJEB46513,ERR6350143
SAMEA9449603,2016,Zambia,Human,ERX5982503,Blood,PRJEB46513,ERR6350928
SAMEA9449437,2016,Zambia,Human,ERX5982334,Blood,PRJEB46513,ERR6350759
SAMEA9449444,2016,Zambia,Human,ERX5982341,Blood,PRJEB46513,ERR6350766
SAMEA9449604,2016,Zambia,Human,ERX5982501,Blood,PRJEB46513,ERR6350926
SAMEA9449490,2016,Zambia,Human,ERX5982387,Blood,PRJEB46513,ERR6350812
SAMEA9449615,2016,Zambia,Human,ERX5982579,Blood,PRJEB46513,ERR6351004
SAMEA9449454,2016,Zambia,Human,ERX5982352,Blood,PRJEB46513,ERR6350777
SAMEA9449509,2016,Zambia,Human,ERX5982407,Blood,PRJEB46513,ERR6350832
SAMEA9449503,2016,Zambia,Human,ERX5982401,Blood,PRJEB46513,ERR6350826
SAMEA9449486,2016,Zambia,Human,ERX5982383,Blood,PRJEB46513,ERR6350808
SAMEA9449395,2016,Zambia,Human,ERX5981717,Blood,PRJEB46513,ERR6350142
SAMEA9449586,2016,Zambia,Human,ERX5982485,Blood,PRJEB46513,ERR6350910
SAMEA9449577,2016,Zambia,Human,ERX5982475,Blood,PRJEB46513,ERR6350900
SAMEA9449529,2016,Zambia,Human,ERX5982427,Blood,PRJEB46513,ERR6350852
SAMEA9449633,2016,Zambia,Human,ERX5982597,Blood,PRJEB46513,ERR6351022
SAMEA9449496,2016,Zambia,Human,ERX5982393,Blood,PRJEB46513,ERR6350818
SAMEA9449557,2016,Zambia,Human,ERX5982455,Blood,PRJEB46513,ERR6350880
SAMEA9449439,2016,Zambia,Human,ERX5982336,Blood,PRJEB46513,ERR6350761
SAMEA9449576,2016,Zambia,Human,ERX5982474,Blood,PRJEB46513,ERR6350899
SAMEA9449612,2016,Zambia,Human,ERX5982511,Blood,PRJEB46513,ERR6350936
SAMEA9449605,2016,Zambia,Human,ERX5982505,Blood,PRJEB46513,ERR6350930
SAMEA9449497,2016,Zambia,Human,ERX5982395,Blood,PRJEB46513,ERR6350820
SAMEA9449513,2016,Zambia,Human,ERX5982411,Blood,PRJEB46513,ERR6350836
SAMEA9449456,2016,Zambia,Human,ERX5982353,Blood,PRJEB46513,ERR6350778
SAMEA9449429,2016,Zambia,Human,ERX5981788,Blood,PRJEB46513,ERR6350213
SAMEA9449474,2016,Zambia,Human,ERX5982365,Blood,PRJEB46513,ERR6350790
SAMEA9449521,2016,Zambia,Human,ERX5982419,Blood,PRJEB46513,ERR6350844
SAMEA9449637,2016,Zambia,Human,ERX5982601,Blood,PRJEB46513,ERR6351026
SAMEA9449424,2016,Zambia,Human,ERX5981781,Blood,PRJEB46513,ERR6350206
SAMEA9449540,2016,Zambia,Human,ERX5982438,Blood,PRJEB46513,ERR6350863
SAMEA9449434,2016,Zambia,Human,ERX5981793,Blood,PRJEB46513,ERR6350218
SAMEA9449551,2016,Zambia,Human,ERX5982449,Blood,PRJEB46513,ERR6350874
SAMEA9449621,2016,Zambia,Human,ERX5982582,Blood,PRJEB46513,ERR6351007
SAMEA9449532,2016,Zambia,Human,ERX5982430,Blood,PRJEB46513,ERR6350855
SAMEA9449468,2016,Zambia,Human,ERX5982366,Blood,PRJEB46513,ERR6350791
SAMEA9449425,2016,Zambia,Human,ERX5981783,Blood,PRJEB46513,ERR6350208
SAMEA9449536,2016,Zambia,Human,ERX5982434,Blood,PRJEB46513,ERR6350859
SAMEA9449625,2016,Zambia,Human,ERX5982588,Blood,PRJEB46513,ERR6351013
SAMEA9449492,2016,Zambia,Human,ERX5982389,Blood,PRJEB46513,ERR6350814
SAMEA9449630,2016,Zambia,Human,ERX5982593,Blood,PRJEB46513,ERR6351018
SAMEA9449419,2016,Zambia,Human,ERX5981777,Blood,PRJEB46513,ERR6350202
SAMEA9449533,2016,Zambia,Human,ERX5982431,Blood,PRJEB46513,ERR6350856
SAMEA9449461,2016,Zambia,Human,ERX5982358,Blood,PRJEB46513,ERR6350783
SAMEA9449489,2016,Zambia,Human,ERX5982386,Blood,PRJEB46513,ERR6350811
SAMEA9449595,2016,Zambia,Human,ERX5982494,Blood,PRJEB46513,ERR6350919
SAMEA9449484,2016,Zambia,Human,ERX5982381,Blood,PRJEB46513,ERR6350806
SAMEA9449614,2016,Zambia,Human,ERX5982577,Blood,PRJEB46513,ERR6351002
SAMEA9449572,2016,Zambia,Human,ERX5982470,Blood,PRJEB46513,ERR6350895
SAMEA9449599,2016,Zambia,Human,ERX5982498,Blood,PRJEB46513,ERR6350923
SAMEA9449558,2016,Zambia,Human,ERX5982456,Blood,PRJEB46513,ERR6350881
SAMEA9449408,2016,Zambia,Human,ERX5981730,Blood,PRJEB46513,ERR6350155
SAMEA9449574,2016,Zambia,Human,ERX5982472,Blood,PRJEB46513,ERR6350897
SAMEA9449502,2016,Zambia,Human,ERX5982400,Blood,PRJEB46513,ERR6350825
SAMEA9449537,2016,Zambia,Human,ERX5982435,Blood,PRJEB46513,ERR6350860
SAMEA9449398,2016,Zambia,Human,ERX5981720,Blood,PRJEB46513,ERR6350145
SAMEA9449629,2016,Zambia,Human,ERX5982594,Blood,PRJEB46513,ERR6351019
SAMEA9449413,2016,Zambia,Human,ERX5981771,Blood,PRJEB46513,ERR6350196
SAMEA9449589,2016,Zambia,Human,ERX5982488,Blood,PRJEB46513,ERR6350913
SAMEA9449548,2016,Zambia,Human,ERX5982446,Blood,PRJEB46513,ERR6350871
SAMEA9449501,2016,Zambia,Human,ERX5982399,Blood,PRJEB46513,ERR6350824
SAMEA9449580,2016,Zambia,Human,ERX5982478,Blood,PRJEB46513,ERR6350903
SAMEA9449445,2016,Zambia,Human,ERX5982342,Blood,PRJEB46513,ERR6350767
SAMEA9449507,2016,Zambia,Human,ERX5982405,Blood,PRJEB46513,ERR6350830
SAMEA9449515,2016,Zambia,Human,ERX5982413,Blood,PRJEB46513,ERR6350838
SAMEA9449504,2016,Zambia,Human,ERX5982402,Blood,PRJEB46513,ERR6350827
SAMEA9449375,2016,Zambia,Human,ERX5981510,Blood,PRJEB46513,ERR6349935
SAMEA9449523,2016,Zambia,Human,ERX5982421,Blood,PRJEB46513,ERR6350846
SAMEA9449638,2016,Zambia,Human,ERX5982602,Blood,PRJEB46513,ERR6351027
SAMEA9449544,2016,Zambia,Human,ERX5982442,Blood,PRJEB46513,ERR6350867
SAMEA9449596,2016,Zambia,Human,ERX5982495,Blood,PRJEB46513,ERR6350920
SAMEA9449399,2016,Zambia,Human,ERX5981721,Blood,PRJEB46513,ERR6350146
SAMEA9449440,2016,Zambia,Human,ERX5982337,Blood,PRJEB46513,ERR6350762
SAMEA9449559,2016,Zambia,Human,ERX5982457,Blood,PRJEB46513,ERR6350882
SAMEA9449481,2016,Zambia,Human,ERX5982378,Blood,PRJEB46513,ERR6350803
SAMEA9449568,2016,Zambia,Human,ERX5982466,Blood,PRJEB46513,ERR6350891
SAMEA9449409,2016,Zambia,Human,ERX5981731,Blood,PRJEB46513,ERR6350156
SAMEA9449374,2016,Zambia,Human,ERX5981508,Blood,PRJEB46513,ERR6349933
SAMEA9449449,2016,Zambia,Human,ERX5982346,Blood,PRJEB46513,ERR6350771
SAMEA9449438,2016,Zambia,Human,ERX5982335,Blood,PRJEB46513,ERR6350760
SAMEA9449617,2016,Zambia,Human,ERX5982580,Blood,PRJEB46513,ERR6351005
SAMEA9449382,2016,Zambia,Human,ERX5981709,Blood,PRJEB46513,ERR6350134
SAMEA9449627,2016,Zambia,Human,ERX5982590,Blood,PRJEB46513,ERR6351015
SAMEA9449511,2016,Zambia,Human,ERX5982409,Blood,PRJEB46513,ERR6350834
SAMEA9449477,2016,Zambia,Human,ERX5982374,Blood,PRJEB46513,ERR6350799
SAMEA9449411,2016,Zambia,Human,ERX5981769,Blood,PRJEB46513,ERR6350194
SAMEA9449385,2016,Zambia,Human,ERX5981712,Blood,PRJEB46513,ERR6350137
SAMEA9449593,2016,Zambia,Human,ERX5982492,Blood,PRJEB46513,ERR6350917
SAMEA9449620,2016,Zambia,Human,ERX5982584,Blood,PRJEB46513,ERR6351009
SAMEA9449422,2016,Zambia,Human,ERX5981780,Blood,PRJEB46513,ERR6350205
SAMEA9449459,2016,Zambia,Human,ERX5982356,Blood,PRJEB46513,ERR6350781
SAMEA9449466,2016,Zambia,Human,ERX5982364,Blood,PRJEB46513,ERR6350789
SAMEA9449619,2016,Zambia,Human,ERX5982583,Blood,PRJEB46513,ERR6351008
SAMEA9449547,2016,Zambia,Human,ERX5982445,Blood,PRJEB46513,ERR6350870
SAMEA9449591,2016,Zambia,Human,ERX5982490,Blood,PRJEB46513,ERR6350915
SAMEA9449417,2016,Zambia,Human,ERX5981775,Blood,PRJEB46513,ERR6350200
SAMEA9449420,2016,Zambia,Human,ERX5981778,Blood,PRJEB46513,ERR6350203
SAMEA9449549,2016,Zambia,Human,ERX5982447,Blood,PRJEB46513,ERR6350872
SAMEA9449626,2016,Zambia,Human,ERX5982589,Blood,PRJEB46513,ERR6351014
SAMEA9449588,2016,Zambia,Human,ERX5982487,Blood,PRJEB46513,ERR6350912
SAMEA9449606,2016,Zambia,Human,ERX5982506,Blood,PRJEB46513,ERR6350931
SAMEA9449416,2016,Zambia,Human,ERX5981774,Blood,PRJEB46513,ERR6350199
SAMEA9449394,2016,Zambia,Human,ERX5981716,Blood,PRJEB46513,ERR6350141
SAMEA9449485,2016,Zambia,Human,ERX5982382,Blood,PRJEB46513,ERR6350807
SAMEA9449458,2016,Zambia,Human,ERX5982355,Blood,PRJEB46513,ERR6350780
SAMEA9449478,2016,Zambia,Human,ERX5982375,Blood,PRJEB46513,ERR6350800
SAMEA9449482,2016,Zambia,Human,ERX5982379,Blood,PRJEB46513,ERR6350804
SAMEA9449443,2016,Zambia,Human,ERX5982340,Blood,PRJEB46513,ERR6350765
SAMEA9449401,2016,Zambia,Human,ERX5981723,Blood,PRJEB46513,ERR6350148
SAMEA9449506,2016,Zambia,Human,ERX5982404,Blood,PRJEB46513,ERR6350829
SAMEA9449410,2016,Zambia,Human,ERX5981768,Blood,PRJEB46513,ERR6350193
SAMEA9449563,2016,Zambia,Human,ERX5982461,Blood,PRJEB46513,ERR6350886
SAMEA9449508,2016,Zambia,Human,ERX5982406,Blood,PRJEB46513,ERR6350831
SAMEA9449550,2016,Zambia,Human,ERX5982448,Blood,PRJEB46513,ERR6350873
SAMEA9449528,2016,Zambia,Human,ERX5982426,Blood,PRJEB46513,ERR6350851
SAMEA9449479,2016,Zambia,Human,ERX5982376,Blood,PRJEB46513,ERR6350801
SAMEA9449545,2016,Zambia,Human,ERX5982443,Blood,PRJEB46513,ERR6350868
SAMEA9449491,2016,Zambia,Human,ERX5982388,Blood,PRJEB46513,ERR6350813
SAMEA9449582,2016,Zambia,Human,ERX5982481,Blood,PRJEB46513,ERR6350906
SAMEA9449467,2016,Zambia,Human,ERX5982363,Blood,PRJEB46513,ERR6350788
SAMEA9449510,2016,Zambia,Human,ERX5982408,Blood,PRJEB46513,ERR6350833
SAMEA9449541,2016,Zambia,Human,ERX5982439,Blood,PRJEB46513,ERR6350864
SAMEA9449628,2016,Zambia,Human,ERX5982591,Blood,PRJEB46513,ERR6351016
SAMEA9449539,2016,Zambia,Human,ERX5982437,Blood,PRJEB46513,ERR6350862
SAMEA9449525,2016,Zambia,Human,ERX5982423,Blood,PRJEB46513,ERR6350848
SAMEA9449426,2016,Zambia,Human,ERX5981785,Blood,PRJEB46513,ERR6350210
SAMEA9449387,2016,Zambia,Human,ERX5981714,Blood,PRJEB46513,ERR6350139
SAMEA9449522,2016,Zambia,Human,ERX5982420,Blood,PRJEB46513,ERR6350845
SAMEA9449571,2016,Zambia,Human,ERX5982469,Blood,PRJEB46513,ERR6350894
SAMEA9449403,2016,Zambia,Human,ERX5981725,Blood,PRJEB46513,ERR6350150
SAMEA9449600,2016,Zambia,Human,ERX5982499,Blood,PRJEB46513,ERR6350924
SAMEA9449632,2016,Zambia,Human,ERX5982596,Blood,PRJEB46513,ERR6351021
SAMEA9449570,2016,Zambia,Human,ERX5982468,Blood,PRJEB46513,ERR6350893
SAMEA9449516,2016,Zambia,Human,ERX5982414,Blood,PRJEB46513,ERR6350839
SAMEA9449556,2016,Zambia,Human,ERX5982454,Blood,PRJEB46513,ERR6350879
SAMEA9449423,2016,Zambia,Human,ERX5981782,Blood,PRJEB46513,ERR6350207
SAMEA9449622,2016,Zambia,Human,ERX5982585,Blood,PRJEB46513,ERR6351010
SAMEA9449561,2016,Zambia,Human,ERX5982459,Blood,PRJEB46513,ERR6350884
