sample_accession,collection_date,country,HOST,experiment_alias,isolation_source,study_accession,run_accession
SAMEA7472276,2015-17,Ethiopia,Human,ERX4785345,Blood,PRJEB33565,ERR4920436
SAMEA7472316,2015-17,Ethiopia,Human,ERX4785373,Blood,PRJEB33565,ERR4920464
SAMEA7472498,2015-17,Nigeria,Human,ERX4785445,Blood,PRJEB33565,ERR4920536
SAMEA7472478,2015-17,Nigeria,Human,ERX4785437,Blood,PRJEB33565,ERR4920528
SAMEA7472310,2015-17,Ethiopia,Human,ERX4785369,Blood,PRJEB33565,ERR4920460
SAMEA7472234,2015-17,Ethiopia,Human,ERX4785312,Blood,PRJEB33565,ERR4920403
SAMEA7472273,2015-17,Ethiopia,Human,ERX4785344,Blood,PRJEB33565,ERR4920435
SAMEA7472237,2015-17,Ethiopia,Human,ERX4785315,Blood,PRJEB33565,ERR4920406
SAMEA7472440,2015-17,Nigeria,Human,ERX4785422,Blood,PRJEB33565,ERR4920513
SAMEA7472446,2015-17,Nigeria,Human,ERX4785424,Blood,PRJEB33565,ERR4920515
SAMEA7472522,2015-17,Pakistan,Human,ERX4785457,Blood,PRJEB33565,ERR4920548
SAMEA7472421,2015-17,Nigeria,Human,ERX4785415,Blood,PRJEB33565,ERR4920506
SAMEA7472655,2015-17,Pakistan,Human,ERX4785483,Blood,PRJEB33565,ERR4920574
SAMEA7472896,2015-17,Rwanda,Human,ERX4785516,Blood,PRJEB33565,ERR4920607
SAMEA7472659,2015-17,Pakistan,Human,ERX4785484,Blood,PRJEB33565,ERR4920575
SAMEA7472325,2015-17,Ethiopia,Human,ERX4785381,Blood,PRJEB33565,ERR4920472
SAMEA7472507,2015-17,Nigeria,Human,ERX4785450,Blood,PRJEB33565,ERR4920541
SAMEA7472348,2015-17,India,Human,ERX4785397,Blood,PRJEB33565,ERR4920488
SAMEA7472232,2015-17,Ethiopia,Human,ERX4785311,Blood,PRJEB33565,ERR4920402
SAMEA7472289,2015-17,Ethiopia,Human,ERX4785353,Blood,PRJEB33565,ERR4920444
SAMEA7472323,2015-17,Ethiopia,Human,ERX4785380,Blood,PRJEB33565,ERR4920471
SAMEA7472867,2015-17,Rwanda,Human,ERX4785507,Blood,PRJEB33565,ERR4920598
SAMEA7472238,2015-17,Ethiopia,Human,ERX4785316,Blood,PRJEB33565,ERR4920407
SAMEA7472598,2015-17,Pakistan,Human,ERX4785470,Blood,PRJEB33565,ERR4920561
SAMEA7472561,2015-17,Pakistan,Human,ERX4785462,Blood,PRJEB33565,ERR4920553
SAMEA7472207,2015-17,Bangladesh,Human,ERX4785298,Blood,PRJEB33565,ERR4920389
SAMEA7472897,2015-17,Rwanda,Human,ERX4785517,Blood,PRJEB33565,ERR4920608
SAMEA7472329,2015-17,Ethiopia,Human,ERX4785385,Blood,PRJEB33565,ERR4920476
SAMEA7472312,2015-17,Ethiopia,Human,ERX4785370,Blood,PRJEB33565,ERR4920461
SAMEA7472912,2015-17,Rwanda,Human,ERX4785522,Blood,PRJEB33565,ERR4920613
SAMEA7472246,2015-17,Ethiopia,Human,ERX4785324,Blood,PRJEB33565,ERR4920415
SAMEA7472321,2015-17,Ethiopia,Human,ERX4785378,Blood,PRJEB33565,ERR4920469
SAMEA7472270,2015-17,Ethiopia,Human,ERX4785343,Blood,PRJEB33565,ERR4920434
SAMEA7472393,2015-17,Nigeria,Human,ERX4785409,Blood,PRJEB33565,ERR4920500
SAMEA7472506,2015-17,Nigeria,Human,ERX4785449,Blood,PRJEB33565,ERR4920540
SAMEA7472854,2015-17,Rwanda,Human,ERX4785503,Blood,PRJEB33565,ERR4920594
SAMEA7472782,2015-17,Pakistan,Human,ERX4785496,Blood,PRJEB33565,ERR4920587
SAMEA7472728,2015-17,Pakistan,Human,ERX4785489,Blood,PRJEB33565,ERR4920580
SAMEA7472317,2015-17,Ethiopia,Human,ERX4785374,Blood,PRJEB33565,ERR4920465
SAMEA7472335,2015-17,Ethiopia,Human,ERX4785391,Blood,PRJEB33565,ERR4920482
SAMEA7472389,2015-17,Nigeria,Human,ERX4785407,Blood,PRJEB33565,ERR4920498
SAMEA7472079,2015-17,Bangladesh,Human,ERX4785286,Blood,PRJEB33565,ERR4920377
SAMEA7472429,2015-17,Nigeria,Human,ERX4785416,Blood,PRJEB33565,ERR4920507
SAMEA7472263,2015-17,Ethiopia,Human,ERX4785338,Blood,PRJEB33565,ERR4920429
SAMEA7472493,2015-17,Nigeria,Human,ERX4785444,Blood,PRJEB33565,ERR4920535
SAMEA7472742,2015-17,Pakistan,Human,ERX4785492,Blood,PRJEB33565,ERR4920583
SAMEA7472169,2015-17,Bangladesh,Human,ERX4785292,Blood,PRJEB33565,ERR4920383
SAMEA7472252,2015-17,Ethiopia,Human,ERX4785329,Blood,PRJEB33565,ERR4920420
SAMEA7472578,2015-17,Pakistan,Human,ERX4785466,Blood,PRJEB33565,ERR4920557
SAMEA7472919,2015-17,South Africa,Human,ERX4785525,Blood,PRJEB33565,ERR4920616
SAMEA7472236,2015-17,Ethiopia,Human,ERX4785314,Blood,PRJEB33565,ERR4920405
