study_accession	sample_accession	field	ena_value	applied_value	method	evidence
PRJEB28400	SAMEA4938659	country		Viet Nam	whole_field	
PRJEB28400	SAMEA4938660	country		Viet Nam	whole_field	
PRJEB28400	SAMEA4938757	country		Viet Nam	whole_field	
PRJEB28400	SAMEA4938663	country		Viet Nam	whole_field	
PRJEB28400	SAMEA4938761	country		Viet Nam	whole_field	
PRJEB28400	SAMEA4938669	country		Viet Nam	whole_field	
PRJEB28400	SAMEA4938765	country		Viet Nam	whole_field	
PRJEB28400	SAMEA4938770	country		Viet Nam	whole_field	
PRJEB28400	SAMEA4938678	country		Viet Nam	whole_field	
PRJEB28400	SAMEA4938775	country		Viet Nam	whole_field	
PRJEB28400	SAMEA4938902	country		Viet Nam	whole_field	
PRJEB28400	SAMEA4938798	country		Viet Nam	whole_field	
PRJEB28400	SAMEA4938803	country		Viet Nam	whole_field	
PRJEB28400	SAMEA4938840	country		Viet Nam	whole_field	
PRJEB28400	SAMEA4938842	country		Viet Nam	whole_field	
PRJEB28400	SAMEA4938847	country		Viet Nam	whole_field	
PRJEB28400	SAMEA4938865	country		Viet Nam	whole_field	
PRJEB28400	SAMEA4938869	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5378614	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5378625	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5378628	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5378641	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5378644	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5378665	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5378680	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5378681	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5378690	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5378695	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5378721	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5378734	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5378737	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5378752	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5378754	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5378780	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5378783	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5378789	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5378796	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5378807	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5378809	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5378810	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5378834	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5378838	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5378845	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5378849	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5378881	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5378885	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5378906	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5378910	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5378911	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5378914	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5378923	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5378933	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5378937	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5378951	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5378953	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5378958	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5378963	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5378965	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5378971	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5379005	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5379008	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5377832	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5377839	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5377864	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5377870	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5377882	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5377884	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5377891	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5377892	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5377899	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5377902	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5377905	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5377919	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5377929	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5377933	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5377943	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5377945	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5377950	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5377956	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5377958	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5377971	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5377973	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5377977	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5377979	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5377980	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5378003	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5378012	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5378016	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5378026	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5378031	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5378033	country		Viet Nam	whole_field	
