field	study_accession	n_records	completeness	n_blank	status	n_filled
collection_date	PRJNA202008	1	0.0	1	residual_per_sample	0
collection_date	PRJNA202009	1	0.0	1	residual_per_sample	0
collection_date	PRJNA202012	1	0.0	1	residual_per_sample	0
collection_date	PRJNA202013	1	0.0	1	residual_per_sample	0
collection_date	PRJNA202014	1	0.0	1	residual_per_sample	0
collection_date	PRJNA202015	1	0.0	1	residual_per_sample	0
collection_date	PRJNA202016	1	0.0	1	residual_per_sample	0
collection_date	PRJNA202017	1	0.0	1	residual_per_sample	0
collection_date	PRJNA202018	1	0.0	1	residual_per_sample	0
collection_date	PRJNA202020	1	0.0	1	residual_per_sample	0
collection_date	PRJNA202023	1	0.0	1	residual_per_sample	0
collection_date	PRJNA202024	1	0.0	1	residual_per_sample	0
collection_date	PRJNA202025	1	0.0	1	residual_per_sample	0
collection_date	PRJNA202026	1	0.0	1	residual_per_sample	0
collection_date	PRJNA203445	1	0.0	1	residual_per_sample	0
collection_date	PRJNA212643	1	0.0	1	residual_per_sample	0
collection_date	PRJNA212649	1	0.0	1	residual_per_sample	0
collection_date	PRJNA213341	1	0.0	1	residual_per_sample	0
collection_date	PRJNA218110	1	0.0	1	residual_per_sample	0
collection_date	PRJNA219265	1	0.0	1	residual_per_sample	0
collection_date	PRJNA219266	1	0.0	1	residual_per_sample	0
collection_date	PRJNA219267	1	0.0	1	residual_per_sample	0
collection_date	PRJNA219268	1	0.0	1	residual_per_sample	0
collection_date	PRJNA219269	1	0.0	1	residual_per_sample	0
collection_date	PRJNA219270	1	0.0	1	residual_per_sample	0
collection_date	PRJNA219271	1	0.0	1	residual_per_sample	0
collection_date	PRJNA219272	1	0.0	1	residual_per_sample	0
collection_date	PRJNA219275	1	0.0	1	residual_per_sample	0
collection_date	PRJNA219276	1	0.0	1	residual_per_sample	0
collection_date	PRJNA219277	1	0.0	1	residual_per_sample	0
collection_date	PRJNA219278	1	0.0	1	residual_per_sample	0
collection_date	PRJNA219283	1	0.0	1	residual_per_sample	0
collection_date	PRJNA219284	1	0.0	1	residual_per_sample	0
collection_date	PRJNA219287	1	0.0	1	residual_per_sample	0
collection_date	PRJNA219289	1	0.0	1	residual_per_sample	0
collection_date	PRJNA219292	1	0.0	1	residual_per_sample	0
collection_date	PRJNA219293	1	0.0	1	residual_per_sample	0
collection_date	PRJNA219294	1	0.0	1	residual_per_sample	0
collection_date	PRJNA219295	1	0.0	1	residual_per_sample	0
collection_date	PRJNA219296	1	0.0	1	residual_per_sample	0
collection_date	PRJNA219297	1	0.0	1	residual_per_sample	0
collection_date	PRJNA219298	1	0.0	1	residual_per_sample	0
collection_date	PRJNA219299	1	0.0	1	residual_per_sample	0
collection_date	PRJNA219300	1	0.0	1	residual_per_sample	0
collection_date	PRJNA244547	1	0.0	1	residual_per_sample	0
collection_date	PRJNA244567	1	0.0	1	residual_per_sample	0
collection_date	PRJNA263062	1	0.0	1	residual_per_sample	0
collection_date	PRJNA265231	1	0.0	1	residual_per_sample	0
collection_date	PRJNA265232	1	0.0	1	residual_per_sample	0
collection_date	PRJNA265233	1	0.0	1	residual_per_sample	0
collection_date	PRJNA265234	1	0.0	1	residual_per_sample	0
collection_date	PRJNA265235	1	0.0	1	residual_per_sample	0
collection_date	PRJNA265236	1	0.0	1	residual_per_sample	0
collection_date	PRJNA265237	1	0.0	1	residual_per_sample	0
collection_date	PRJNA265240	1	0.0	1	residual_per_sample	0
collection_date	PRJNA265241	1	0.0	1	residual_per_sample	0
collection_date	PRJNA265242	1	0.0	1	residual_per_sample	0
collection_date	PRJNA265243	1	0.0	1	residual_per_sample	0
collection_date	PRJNA265244	1	0.0	1	residual_per_sample	0
collection_date	PRJNA265245	1	0.0	1	residual_per_sample	0
collection_date	PRJNA265246	1	0.0	1	residual_per_sample	0
collection_date	PRJNA265247	1	0.0	1	residual_per_sample	0
collection_date	PRJNA265248	1	0.0	1	residual_per_sample	0
collection_date	PRJNA265254	1	0.0	1	residual_per_sample	0
collection_date	PRJNA265255	1	0.0	1	residual_per_sample	0
collection_date	PRJNA265256	1	0.0	1	residual_per_sample	0
collection_date	PRJNA265257	1	0.0	1	residual_per_sample	0
collection_date	PRJNA265258	1	0.0	1	residual_per_sample	0
collection_date	PRJNA265259	1	0.0	1	residual_per_sample	0
collection_date	PRJNA265260	1	0.0	1	residual_per_sample	0
collection_date	PRJNA265261	1	0.0	1	residual_per_sample	0
collection_date	PRJNA265262	1	0.0	1	residual_per_sample	0
collection_date	PRJNA265263	1	0.0	1	residual_per_sample	0
collection_date	PRJNA265264	1	0.0	1	residual_per_sample	0
collection_date	PRJNA265265	1	0.0	1	residual_per_sample	0
collection_date	PRJNA265266	1	0.0	1	residual_per_sample	0
collection_date	PRJNA265267	1	0.0	1	residual_per_sample	0
collection_date	PRJNA265268	1	0.0	1	residual_per_sample	0
collection_date	PRJNA265269	1	0.0	1	residual_per_sample	0
collection_date	PRJNA265270	1	0.0	1	residual_per_sample	0
collection_date	PRJNA265275	1	0.0	1	residual_per_sample	0
collection_date	PRJNA265347	1	0.0	1	residual_per_sample	0
collection_date	PRJNA269826	1	0.0	1	residual_per_sample	0
collection_date	PRJNA269833	1	0.0	1	residual_per_sample	0
collection_date	PRJNA269877	1	0.0	1	residual_per_sample	0
collection_date	PRJNA269879	1	0.0	1	residual_per_sample	0
collection_date	PRJNA269915	1	0.0	1	residual_per_sample	0
collection_date	PRJNA272089	1	0.0	1	residual_per_sample	0
collection_date	PRJNA275974	1	0.0	1	residual_per_sample	0
collection_date	PRJNA279657	1	0.0	1	residual_per_sample	0
collection_date	PRJNA296147	1	0.0	1	residual_per_sample	0
collection_date	PRJNA316321	9	0.0	9	residual_per_sample	0
collection_date	PRJNA353361	1	0.0	1	residual_per_sample	0
collection_date	PRJNA354234	3	0.667	1	residual_per_sample	0
collection_date	PRJNA360179	1	0.0	1	residual_per_sample	0
collection_date	PRJNA391510	1	0.0	1	residual_per_sample	0
collection_date	PRJNA398365	1	0.0	1	residual_per_sample	0
collection_date	PRJNA40025	1	0.0	1	residual_per_sample	0
collection_date	PRJNA40049	1	0.0	1	residual_per_sample	0
collection_date	PRJNA429995	1	0.0	1	residual_per_sample	0
collection_date	PRJNA450215	3	0.333	2	residual_per_sample	0
collection_date	PRJNA456216	1	0.0	1	residual_per_sample	0
collection_date	PRJNA456219	1	0.0	1	residual_per_sample	0
collection_date	PRJNA463112	1	0.0	1	residual_per_sample	0
collection_date	PRJNA47211,PRJNA47257,PRJNA47225,PRJNA47209,PRJNA47275,PRJNA47263,PRJNA47223,PRJNA47217,PRJNA47267,PRJNA47259,PRJNA47271,PRJNA47229	1	0.0	1	residual_per_sample	0
collection_date	PRJNA494608	2	0.0	2	residual_per_sample	0
collection_date	PRJNA499494	1	0.0	1	residual_per_sample	0
collection_date	PRJNA500331	1	0.0	1	residual_per_sample	0
collection_date	PRJNA501401	1	0.0	1	residual_per_sample	0
collection_date	PRJNA501405	1	0.0	1	residual_per_sample	0
collection_date	PRJNA501406	1	0.0	1	residual_per_sample	0
collection_date	PRJNA501409	1	0.0	1	residual_per_sample	0
collection_date	PRJNA501412	1	0.0	1	residual_per_sample	0
collection_date	PRJNA508495	3	0.0	3	residual_per_sample	0
collection_date	PRJNA508509	7	0.0	7	residual_per_sample	0
collection_date	PRJNA521748	1	0.0	1	residual_per_sample	0
collection_date	PRJNA523425	2	0.0	2	residual_per_sample	0
collection_date	PRJNA523427	5	0.0	5	residual_per_sample	0
collection_date	PRJNA523730	7	0.0	7	residual_per_sample	0
collection_date	PRJNA523732	8	0.0	8	residual_per_sample	0
collection_date	PRJNA542320	1	0.0	1	residual_per_sample	0
collection_date	PRJNA543187	1	0.0	1	residual_per_sample	0
collection_date	PRJNA547184	1	0.0	1	residual_per_sample	0
collection_date	PRJNA552311	1	0.0	1	residual_per_sample	0
collection_date	PRJNA593956	2	0.0	2	residual_per_sample	0
collection_date	PRJNA614986	1	0.0	1	residual_per_sample	0
collection_date	PRJNA627626	2	0.0	2	residual_per_sample	0
collection_date	PRJNA628576	5	0.0	5	residual_per_sample	0
collection_date	PRJNA631981	3	0.0	3	residual_per_sample	0
collection_date	PRJNA641130	1	0.0	1	residual_per_sample	0
collection_date	PRJNA641131	3	0.333	2	residual_per_sample	0
collection_date	PRJNA674952	8	0.25	6	residual_per_sample	0
collection_date	PRJNA687988	4	0.0	4	residual_per_sample	0
collection_date	PRJNA719112	2	0.0	2	residual_per_sample	0
collection_date	PRJNA728680	2	0.0	2	residual_per_sample	0
collection_date	PRJNA731002	1	0.0	1	residual_per_sample	0
collection_date	PRJNA749581	1	0.0	1	residual_per_sample	0
collection_date	PRJNA749600	2	0.0	2	residual_per_sample	0
collection_date	PRJNA760944	1	0.0	1	residual_per_sample	0
collection_date	PRJNA762607	5	0.0	5	residual_per_sample	0
collection_date	PRJNA78565	1	0.0	1	residual_per_sample	0
collection_date	PRJNA78567	1	0.0	1	residual_per_sample	0
collection_date	PRJNA786472	1	0.0	1	residual_per_sample	0
collection_date	PRJNA803341	1	0.0	1	residual_per_sample	0
collection_date	PRJNA825843	6	0.5	3	residual_per_sample	0
collection_date	PRJNA839526	1	0.0	1	residual_per_sample	0
collection_date	PRJNA886974	1	0.0	1	residual_per_sample	0
collection_date	PRJNA892093	1	0.0	1	residual_per_sample	0
collection_date	PRJNA942340	7	0.0	7	residual_per_sample	0
collection_date	PRJNA947381	1	0.0	1	residual_per_sample	0
collection_date	PRJNA980722	4	0.0	4	residual_per_sample	0
collection_date	PRJNA981489	1	0.0	1	residual_per_sample	0
collection_date	PRJNA983061	4	0.0	4	residual_per_sample	0
collection_date	PRJNA985548	1	0.0	1	residual_per_sample	0
collection_date	PRJNA986296	1	0.0	1	residual_per_sample	0
country	PRJDB10450	9	0.0	9	covered	9
country	PRJDB8047	1	0.0	1	covered	1
country	PRJDB9509	7	0.0	7	covered	7
country	PRJEB12361	3	0.0	3	covered	3
country	PRJEB12513	3	0.0	3	covered	3
country	PRJEB12887	1	0.0	1	covered	1
country	PRJEB14232	1	0.0	1	covered	1
country	PRJEB18589	1	0.0	1	covered	1
country	PRJEB19657	5	0.0	5	covered	5
country	PRJEB21566	1	0.0	1	covered	1
country	PRJEB22119	1	0.0	1	covered	1
country	PRJEB22207	1	0.0	1	covered	1
country	PRJEB25904	7	0.0	7	covered	7
country	PRJEB26512	1	0.0	1	covered	1
country	PRJEB26677	6	0.0	6	covered	6
country	PRJEB2801	1	0.0	1	covered	1
country	PRJEB28522	5	0.0	5	covered	5
country	PRJEB29743	1	0.0	1	covered	1
country	PRJEB29745	6	0.0	6	covered	6
country	PRJEB29928	5	0.4	3	covered	3
country	PRJEB32059	2	0.0	2	covered	2
country	PRJEB32700	4	0.0	4	covered	4
country	PRJEB3353	2	0.5	1	covered	1
country	PRJEB34232	1	0.0	1	covered	1
country	PRJEB34874	6	0.0	6	covered	6
country	PRJEB36448	2	0.0	2	covered	2
country	PRJEB39709	4	0.0	4	covered	4
country	PRJEB41279	2	0.0	2	covered	2
country	PRJEB43975	1	0.0	1	covered	1
country	PRJEB45009	4	0.0	4	covered	4
country	PRJEB45084	6	0.167	5	covered	5
country	PRJEB4649	1	0.0	1	covered	1
country	PRJEB52722	2	0.0	2	covered	2
country	PRJEB53460	4	0.0	4	covered	4
country	PRJEB6416	1	0.0	1	covered	1
country	PRJEB6657	1	0.0	1	covered	1
country	PRJEB71714	1	0.0	1	covered	1
country	PRJEB7689	4	0.0	4	covered	4
country	PRJEB8302	3	0.0	3	covered	3
country	PRJEB8303	1	0.0	1	covered	1
country	PRJEB8575	1	0.0	1	covered	1
country	PRJEB9644	1	0.0	1	covered	1
country	PRJEB9824	4	0.0	4	covered	4
country	PRJNA1001661	9	0.0	9	covered	9
country	PRJNA1003529	7	0.0	7	covered	7
country	PRJNA1064853	2	0.0	2	covered	2
country	PRJNA1066419	1	0.0	1	covered	1
country	PRJNA1077593	1	0.0	1	covered	1
country	PRJNA1088746	1	0.0	1	covered	1
country	PRJNA1100498	3	0.667	1	covered	1
country	PRJNA187285	1	0.0	1	covered	1
country	PRJNA187287	1	0.0	1	covered	1
country	PRJNA187305	1	0.0	1	covered	1
country	PRJNA187315	1	0.0	1	covered	1
country	PRJNA193165	1	0.0	1	covered	1
country	PRJNA275974	1	0.0	1	covered	1
country	PRJNA302185	8	0.0	8	covered	8
country	PRJNA343442,PRJNA175243	1	0.0	1	covered	1
country	PRJNA508495	3	0.667	1	covered	1
country	PRJNA521748	1	0.0	1	covered	1
country	PRJNA609701	1	0.0	1	covered	1
country	PRJNA674952	8	0.25	6	covered	6
country	PRJNA73843	1	0.0	1	covered	1
country	PRJNA739632	4	0.25	3	covered	3
country	PRJNA739637	8	0.125	7	covered	7
country	PRJNA773853	1	0.0	1	covered	1
country	PRJNA774508	3	0.0	3	covered	3
country	PRJNA825843	6	0.5	3	covered	3
country	PRJNA847041	1	0.0	1	covered	1
country	PRJNA871216	2	0.0	2	covered	2
country	PRJNA887375	1	0.0	1	covered	1
