study_accession	sample_accession	field	ena_value	applied_value	method	evidence
PRJEB50545	SAMEA12999891	collection_date		2018-08-01 00:00:00	per_sample	pone.0337346.s002.xlsx:KLP-JSC-MOD-104692
PRJEB50545	SAMEA12999894	collection_date		2019-02-27 00:00:00	per_sample	pone.0337346.s002.xlsx:KLP-JSC-MOD-104776
PRJEB50545	SAMEA12999895	collection_date		2019-03-06 00:00:00	per_sample	pone.0337346.s002.xlsx:KLP-JSC-MOD-104777
PRJEB50545	SAMEA12999899	collection_date		2019-05-07 00:00:00	per_sample	pone.0337346.s002.xlsx:KLP-JSC-MOD-104903
PRJEB50545	SAMEA12999896	collection_date		2019-04-18 00:00:00	per_sample	pone.0337346.s002.xlsx:KLP-JSC-MOD-104778
PRJEB50545	SAMEA12999502	collection_date		2018-04-04 00:00:00	per_sample	pone.0337346.s002.xlsx:KLP-JSC-IMI-103616
PRJEB50545	SAMEA12999506	collection_date		2018-07-13 00:00:00	per_sample	pone.0337346.s002.xlsx:KLP-JSC-MOD-104044
PRJEB50545	SAMEA12999507	collection_date		2018-07-18 00:00:00	per_sample	pone.0337346.s002.xlsx:KLP-JSC-MOD-104045
PRJEB50545	SAMEA12999513	collection_date		2019-03-29 00:00:00	per_sample	pone.0337346.s002.xlsx:KLP-JSC-MOD-104783
PRJEB50545	SAMEA12999512	collection_date		2019-03-29 00:00:00	per_sample	pone.0337346.s002.xlsx:KLP-JSC-MOD-104782
PRJEB50545	SAMEA12999809	country		France	per_sample	pone.0337346.s002.xlsx:KLP-JSC-MOD-104050 (rescued 'Besancon')
PRJEB50545	SAMEA12999811	country		France	per_sample	pone.0337346.s002.xlsx:KLP-JSC-MOD-104052 (rescued 'Besancon')
PRJEB50545	SAMEA12999813	country		France	per_sample	pone.0337346.s002.xlsx:KLP-JSC-MOD-104054 (rescued 'Besancon')
PRJEB50545	SAMEA12999814	country		France	per_sample	pone.0337346.s002.xlsx:KLP-JSC-MOD-104055 (rescued 'Besancon')
PRJEB50545	SAMEA12999815	country		France	per_sample	pone.0337346.s002.xlsx:KLP-JSC-MOD-104056 (rescued 'Besancon')
PRJEB50545	SAMEA12999816	country		France	per_sample	pone.0337346.s002.xlsx:KLP-JSC-MOD-104057 (rescued 'Besancon')
PRJEB50545	SAMEA12999618	country		Switzerland	per_sample	pone.0337346.s002.xlsx:KLP-JSC-MOD-104432 (rescued 'Geneva')
PRJEB50545	SAMEA12999619	country		Switzerland	per_sample	pone.0337346.s002.xlsx:KLP-JSC-MOD-104433 (rescued 'Geneva')
PRJEB50545	SAMEA12999621	country		Switzerland	per_sample	pone.0337346.s002.xlsx:KLP-JSC-MOD-104435 (rescued 'Geneva')
PRJEB50545	SAMEA12999623	country		Switzerland	per_sample	pone.0337346.s002.xlsx:KLP-JSC-MOD-104437 (rescued 'Geneva')
PRJEB50545	SAMEA12999625	country		Switzerland	per_sample	pone.0337346.s002.xlsx:KLP-JSC-MOD-104439 (rescued 'Geneva')
PRJEB50545	SAMEA12999628	country		Switzerland	per_sample	pone.0337346.s002.xlsx:KLP-JSC-MOD-104442 (rescued 'Geneva')
PRJEB50545	SAMEA12999632	country		Switzerland	per_sample	pone.0337346.s002.xlsx:KLP-JSC-MOD-104446 (rescued 'Geneva')
PRJEB50545	SAMEA12999633	country		Switzerland	per_sample	pone.0337346.s002.xlsx:KLP-JSC-MOD-104447 (rescued 'Geneva')
PRJEB50545	SAMEA12999634	country		Switzerland	per_sample	pone.0337346.s002.xlsx:KLP-JSC-MOD-104448 (rescued 'Geneva')
PRJEB50545	SAMEA12999635	country		Switzerland	per_sample	pone.0337346.s002.xlsx:KLP-JSC-MOD-104449 (rescued 'Geneva')
PRJEB50545	SAMEA12999636	country		Switzerland	per_sample	pone.0337346.s002.xlsx:KLP-JSC-MOD-104450 (rescued 'Geneva')
PRJEB50545	SAMEA12999637	country		Switzerland	per_sample	pone.0337346.s002.xlsx:KLP-JSC-MOD-104451 (rescued 'Geneva')
PRJEB50545	SAMEA12999639	country		Switzerland	per_sample	pone.0337346.s002.xlsx:KLP-JSC-MOD-104453 (rescued 'Geneva')
PRJEB50545	SAMEA12999645	country		Switzerland	per_sample	pone.0337346.s002.xlsx:KLP-JSC-MOD-104460 (rescued 'Geneva')
PRJEB50545	SAMEA12999642	country		Switzerland	per_sample	pone.0337346.s002.xlsx:KLP-JSC-MOD-104457 (rescued 'Geneva')
PRJEB50545	SAMEA12999643	country		Switzerland	per_sample	pone.0337346.s002.xlsx:KLP-JSC-MOD-104458 (rescued 'Geneva')
PRJEB50545	SAMEA12999730	country		Spain	per_sample	pone.0337346.s002.xlsx:KLP-JSC-MOD-104091 (rescued 'Seville')
PRJEB50545	SAMEA12999732	country		Spain	per_sample	pone.0337346.s002.xlsx:KLP-JSC-MOD-104093 (rescued 'Seville')
PRJEB50545	SAMEA12999758	country		Spain	per_sample	pone.0337346.s002.xlsx:KLP-JSC-MOD-104893 (rescued 'Seville')
PRJEB50545	SAMEA12999759	country		Spain	per_sample	pone.0337346.s002.xlsx:KLP-JSC-MOD-104894 (rescued 'Seville')
PRJEB50545	SAMEA12999734	country		Spain	per_sample	pone.0337346.s002.xlsx:KLP-JSC-MOD-104095 (rescued 'Seville')
PRJEB50545	SAMEA12999735	country		Spain	per_sample	pone.0337346.s002.xlsx:KLP-JSC-MOD-104096 (rescued 'Seville')
PRJEB50545	SAMEA12999760	country		Spain	per_sample	pone.0337346.s002.xlsx:KLP-JSC-MOD-104902 (rescued 'Seville')
PRJEB50545	SAMEA12999741	country		Spain	per_sample	pone.0337346.s002.xlsx:KLP-JSC-MOD-104102 (rescued 'Seville')
PRJEB50545	SAMEA12999740	country		Spain	per_sample	pone.0337346.s002.xlsx:KLP-JSC-MOD-104101 (rescued 'Seville')
PRJEB50545	SAMEA12999743	country		Spain	per_sample	pone.0337346.s002.xlsx:KLP-JSC-MOD-104104 (rescued 'Seville')
PRJEB50545	SAMEA12999744	country		Spain	per_sample	pone.0337346.s002.xlsx:KLP-JSC-MOD-104105 (rescued 'Seville')
PRJEB50545	SAMEA12999746	country		Spain	per_sample	pone.0337346.s002.xlsx:KLP-JSC-MOD-104107 (rescued 'Seville')
PRJEB50545	SAMEA12999747	country		Spain	per_sample	pone.0337346.s002.xlsx:KLP-JSC-MOD-104108 (rescued 'Seville')
PRJEB50545	SAMEA12999752	country		Spain	per_sample	pone.0337346.s002.xlsx:KLP-JSC-MOD-104850 (rescued 'Seville')
PRJEB50545	SAMEA12999756	country		Spain	per_sample	pone.0337346.s002.xlsx:KLP-JSC-MOD-104854 (rescued 'Seville')
PRJEB50545	SAMEA12999757	country		Spain	per_sample	pone.0337346.s002.xlsx:KLP-JSC-MOD-104855 (rescued 'Seville')
PRJEB50545	SAMEA12999891	country		Germany	per_sample	pone.0337346.s002.xlsx:KLP-JSC-MOD-104692 (rescued 'Tubingen')
PRJEB50545	SAMEA12999894	country		Germany	per_sample	pone.0337346.s002.xlsx:KLP-JSC-MOD-104776 (rescued 'Tubingen')
PRJEB50545	SAMEA12999895	country		Germany	per_sample	pone.0337346.s002.xlsx:KLP-JSC-MOD-104777 (rescued 'Tubingen')
PRJEB50545	SAMEA12999899	country		Germany	per_sample	pone.0337346.s002.xlsx:KLP-JSC-MOD-104903 (rescued 'Tubingen')
PRJEB50545	SAMEA12999896	country		Germany	per_sample	pone.0337346.s002.xlsx:KLP-JSC-MOD-104778 (rescued 'Tubingen')
PRJEB50545	SAMEA12999502	country		Netherlands	per_sample	pone.0337346.s002.xlsx:KLP-JSC-IMI-103616 (rescued 'Utrecht')
PRJEB50545	SAMEA12999506	country		Netherlands	per_sample	pone.0337346.s002.xlsx:KLP-JSC-MOD-104044 (rescued 'Utrecht')
PRJEB50545	SAMEA12999507	country		Netherlands	per_sample	pone.0337346.s002.xlsx:KLP-JSC-MOD-104045 (rescued 'Utrecht')
PRJEB50545	SAMEA12999513	country		Netherlands	per_sample	pone.0337346.s002.xlsx:KLP-JSC-MOD-104783 (rescued 'Utrecht')
PRJEB50545	SAMEA12999512	country		Netherlands	per_sample	pone.0337346.s002.xlsx:KLP-JSC-MOD-104782 (rescued 'Utrecht')
PRJEB50545	SAMEA12999809	host		human	per_sample	pone.0337346.s002.xlsx:KLP-JSC-MOD-104050 (rescued 'human')
PRJEB50545	SAMEA12999811	host		human	per_sample	pone.0337346.s002.xlsx:KLP-JSC-MOD-104052 (rescued 'human')
PRJEB50545	SAMEA12999813	host		human	per_sample	pone.0337346.s002.xlsx:KLP-JSC-MOD-104054 (rescued 'human')
PRJEB50545	SAMEA12999814	host		human	per_sample	pone.0337346.s002.xlsx:KLP-JSC-MOD-104055 (rescued 'human')
PRJEB50545	SAMEA12999815	host		human	per_sample	pone.0337346.s002.xlsx:KLP-JSC-MOD-104056 (rescued 'human')
PRJEB50545	SAMEA12999816	host		human	per_sample	pone.0337346.s002.xlsx:KLP-JSC-MOD-104057 (rescued 'human')
PRJEB50545	SAMEA12999618	host		human	per_sample	pone.0337346.s002.xlsx:KLP-JSC-MOD-104432 (rescued 'human')
PRJEB50545	SAMEA12999619	host		human	per_sample	pone.0337346.s002.xlsx:KLP-JSC-MOD-104433 (rescued 'human')
PRJEB50545	SAMEA12999621	host		human	per_sample	pone.0337346.s002.xlsx:KLP-JSC-MOD-104435 (rescued 'human')
PRJEB50545	SAMEA12999623	host		human	per_sample	pone.0337346.s002.xlsx:KLP-JSC-MOD-104437 (rescued 'human')
PRJEB50545	SAMEA12999625	host		human	per_sample	pone.0337346.s002.xlsx:KLP-JSC-MOD-104439 (rescued 'human')
PRJEB50545	SAMEA12999628	host		human	per_sample	pone.0337346.s002.xlsx:KLP-JSC-MOD-104442 (rescued 'human')
PRJEB50545	SAMEA12999632	host		human	per_sample	pone.0337346.s002.xlsx:KLP-JSC-MOD-104446 (rescued 'human')
PRJEB50545	SAMEA12999633	host		human	per_sample	pone.0337346.s002.xlsx:KLP-JSC-MOD-104447 (rescued 'human')
PRJEB50545	SAMEA12999634	host		human	per_sample	pone.0337346.s002.xlsx:KLP-JSC-MOD-104448 (rescued 'human')
PRJEB50545	SAMEA12999635	host		human	per_sample	pone.0337346.s002.xlsx:KLP-JSC-MOD-104449 (rescued 'human')
PRJEB50545	SAMEA12999636	host		human	per_sample	pone.0337346.s002.xlsx:KLP-JSC-MOD-104450 (rescued 'human')
