study_accession	fold	n_isolates_split	ena_total_samples	ena_total_runs	ena_taxon_samples	n_child_studies	umbrella_suspected	n_held	completeness_base_country	completeness_postmerge_country	completeness_norm_country	backfill_delta_country	completeness_base_collection_date	completeness_postmerge_collection_date	completeness_norm_collection_date	backfill_delta_collection_date	completeness_base_isolation_source	completeness_postmerge_isolation_source	completeness_norm_isolation_source	backfill_delta_isolation_source	completeness_base_host	completeness_postmerge_host	completeness_norm_host	backfill_delta_host	fetch_status
PRJEB38289	train	509.0	508	604	508	1	False	500	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	0.328	0.268	-0.6719999999999999	0.0	1.0	1.0	1.0	ok
PRJEB35685	train	479.0	891	891	412	1	False	412	0.8737864077669902	0.995049504950495	0.995049504950495	0.12126309718350481	0.0	0.4777227722772277	0.4777227722772277	0.4777227722772277	0.0	0.0	0.0	0.0	0.0	0.5074257425742574	0.5074257425742574	0.5074257425742574	ok
PRJNA634885	train	479.0	144	144	144	1	False	144	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	ok
PRJEB29143	train	457.0	498	498	498	1	False	498	0.9839357429718876	0.9839357429718876	0.9839357429718876	0.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	ok
PRJNA415194	train	453.0	459	459	459	1	False	453	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	ok
PRJNA603790	train	435.0	462	462	462	1	False	462	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	ok
PRJEB63361	train	412.0	413	413	413	1	False	413	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	0.9975786924939467	0.9975786924939467	0.9975786924939467	0.0	ok
PRJNA777643	train	392.0	392	392	392	1	False	392	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	0.9923469387755102	0.0	1.0	1.0	1.0	0.0	ok
PRJEB5065	train	379.0	1298	1298	381	1	False	383	0.7806788511749347	0.7806788511749347	0.7806788511749347	0.0	0.7806788511749347	0.7806788511749347	0.7806788511749347	0.0	0.7806788511749347	0.7806788511749347	0.7806788511749347	0.0	0.7806788511749347	0.7806788511749347	0.1279373368146214	0.0	ok
PRJEB20799	train	356.0	100	100	44	1	False	46	0.0	0.9565217391304348	0.9565217391304348	0.9565217391304348	0.0	0.9565217391304348	0.9565217391304348	0.9565217391304348	0.0	0.9565217391304348	0.9565217391304348	0.9565217391304348	0.0	0.9565217391304348	0.9565217391304348	0.9565217391304348	ok
PRJEB6891	train	348.0	622	647	490	1	False	513	0.011695906432748537	0.98635477582846	0.98635477582846	0.9746588693957114	0.003898635477582846	0.783625730994152	0.783625730994152	0.7797270955165692	0.011695906432748537	0.7855750487329435	0.7777777777777778	0.7738791423001949	0.007797270955165692	0.98635477582846	0.98635477582846	0.9785575048732943	ok
PRJEB19229	train	330.0	97	97	96	1	False	96	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	0.86	0.0	0.96875	0.99	0.99	0.02124999999999999	ok
PRJEB19435	train	330.0	65	65	0	1	False	0																	ok
PRJEB22264	train	330.0	17	17	0	1	False	0																	ok
PRJEB24082	train	330.0	200	200	200	1	False	200	0.0	0.8522167487684729	0.8522167487684729	0.8522167487684729	0.0	0.8522167487684729	0.8522167487684729	0.8522167487684729	0.0	0.8275862068965517	0.8275862068965517	0.8275862068965517	0.0	0.8522167487684729	0.8522167487684729	0.8522167487684729	ok
PRJEB24083	train	330.0	106	106	0	1	False	5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	ok
PRJEB24084	train	330.0	95	95	0	1	False	3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	ok
PRJEB24085	train	330.0	104	104	104	1	False	104	0.0	0.9230769230769231	0.9230769230769231	0.9230769230769231	0.0	0.9230769230769231	0.9230769230769231	0.9230769230769231	0.0	0.9038461538461539	0.9038461538461539	0.9038461538461539	0.0	0.9230769230769231	0.9230769230769231	0.9230769230769231	ok
PRJEB24086	train	330.0	15	15	3	1	False	3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	ok
PRJEB24087	train	330.0	144	144	0	1	False	4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	ok
PRJEB28054	train	326.0	326	326	326	1	False	326	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	ok
PRJNA398288	train	294.0	294	294	36	1	False	36	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	ok
PRJEB39867	train	286.0	286	286	286	1	False	286	0.9755244755244755	1.0	1.0	0.02447552447552448	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	ok
PRJNA544438	train	275.0	272	275	237	1	False	237	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	0.9620253164556962	0.9620253164556962	0.9620253164556962	0.0	1.0	1.0	1.0	0.0	ok
PRJNA604910	train	264.0	464	464	264	1	False	264	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	0.01893939393939394	0.01893939393939394	0.01893939393939394	0.0	ok
PRJEB22903	train	261.0	271	281	271	1	False	261	0.0	1.0	1.0	1.0	0.9961685823754789	0.9961685823754789	0.9961685823754789	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	ok
PRJNA789336	train	258.0	258	258	258	1	False	258	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	ok
PRJNA341927	train	244.0	244	244	244	1	False	244	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	ok
PRJEB6574	train	227.0	221	227	221	1	False	214	0.8317757009345794	0.8317757009345794	0.8317757009345794	0.0	0.8317757009345794	0.8317757009345794	0.8317757009345794	0.0	0.8317757009345794	0.8317757009345794	0.8317757009345794	0.0	0.8317757009345794	0.8317757009345794	0.8317757009345794	0.0	ok
PRJEB24970	train	224.0	224	224	224	1	False	224	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	ok
PRJEB58216	train	209.0	209	217	209	1	False	209	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	ok
PRJNA325243	train	204.0	1559	1570	630	1	False	242	1.0	1.0	1.0	0.0	1.0	1.0	0.9959349593495935	0.0	0.9958677685950413	0.9959349593495935	0.9959349593495935	6.719075455219325e-05	0.008264462809917356	0.3983739837398374	0.3983739837398374	0.39010952092992	ok
PRJEB58018	train	201.0	201	201	201	1	False	201	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	0.9800995024875622	0.0	0.0	1.0	1.0	1.0	ok
PRJEB30134	train	200.0	760	845	201	1	False	201	0.15920398009950248	1.0	1.0	0.8407960199004976	0.15920398009950248	0.15920398009950248	0.15920398009950248	0.0	0.15920398009950248	0.15920398009950248	0.15920398009950248	0.0	0.15920398009950248	1.0	1.0	0.8407960199004976	ok
PRJEB21277	train	192.0	480	480	193	1	False	194	0.0	0.9896907216494846	0.9896907216494846	0.9896907216494846	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	ok
PRJNA565795	train	190.0	0	0	0	0	False	190	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	0.8368421052631579	0.837696335078534	0.8324607329842932	0.0008542298153760841	1.0	1.0	1.0	0.0	ok
PRJNA1048341	train	177.0	177	177	177	1	False	177	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	ok
PRJNA787062	train	177.0	346	346	192	1	False	192	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	ok
PRJNA767944	train	173.0	173	173	173	1	False	173	1.0	1.0	1.0	0.0	0.046242774566473986	1.0	0.953757225433526	0.953757225433526	0.046242774566473986	0.046242774566473986	0.0	0.0	1.0	1.0	1.0	0.0	ok
PRJDB12116	train	168.0	154	154	154	1	False	154	1.0	1.0	1.0	0.0	0.9675324675324676	0.967741935483871	0.967741935483871	0.00020946795140341923	0.0	0.34838709677419355	0.34838709677419355	0.34838709677419355	1.0	1.0	1.0	0.0	ok
PRJDB14656	train	168.0	234	234	234	1	False	0																	ok
PRJDB17849	train	168.0	0	0	0	0	False	0																	ok
PRJEB12699	train	160.0	162	162	143	1	False	141	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	ok
PRJNA982859	train	159.0	314	314	183	1	False	183	1.0	0.9508196721311475	0.9508196721311475	-0.049180327868852514	1.0	0.9508196721311475	0.9508196721311475	-0.049180327868852514	0.9508196721311475	0.9508196721311475	0.9508196721311475	0.0	0.9180327868852459	0.0	0.0	-0.9180327868852459	ok
PRJEB22890	train	157.0	157	157	157	1	False	157	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	0.9936305732484076	0.9936305732484076	0.0	0.0	1.0	1.0	1.0	0.0	ok
PRJNA278886	train	156.0	3110	3131	284	1	False	281	0.9893238434163701	0.9893238434163701	0.9893238434163701	0.0	0.9893238434163701	0.9822064056939501	0.8896797153024911	-0.007117437722420017	0.896797153024911	0.896797153024911	0.8896797153024911	0.0	0.9893238434163701	0.9893238434163701	0.9893238434163701	0.0	ok
PRJNA626430	train	156.0	249	255	159	1	False	159	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	ok
PRJEB21605	train	148.0	149	150	149	1	False	149	0.0	0.9932885906040269	0.9932885906040269	0.9932885906040269	0.0	0.9932885906040269	0.9932885906040269	0.9932885906040269	0.0	0.9932885906040269	0.9932885906040269	0.9932885906040269	0.0	1.0	1.0	1.0	ok
PRJNA1052047	train	148.0	148	148	148	1	False	148	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	ok
PRJNA1133624	train	143.0	730	750	209	1	False	145	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	0.9724137931034482	0.0	1.0	1.0	1.0	0.0	ok
PRJNA549322	train	143.0	1422	1461	284	1	False	223	0.9775784753363229	0.9775784753363229	0.9775784753363229	0.0	0.9865470852017937	0.9865470852017937	0.336322869955157	0.0	0.336322869955157	0.336322869955157	0.336322869955157	0.0	0.9865470852017937	0.9865470852017937	0.9865470852017937	0.0	ok
PRJEB64895	train	141.0	142	142	142	1	False	142	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.9929577464788732	0.9929577464788732	0.9929577464788732	0.0	ok
PRJNA804332	train	138.0	160	160	138	1	False	138	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	ok
PRJNA1054115	train	137.0	137	149	137	1	False	137	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	ok
PRJNA1087366	train	135.0	309	309	135	1	False	135	1.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	ok
PRJNA246471	train	129.0	285	285	135	1	False	131	1.0	1.0	1.0	0.0	0.9923664122137404	0.9923664122137404	0.9923664122137404	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	ok
PRJNA648389	train	126.0	126	126	126	1	False	126	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	ok
