study_accession	paper_short_title	n_isolates	fold	seed
PRJEB64895	greek_cpe	141	train	20260612
PRJNA804332	kenyan_neonate	138	train	20260612
PRJNA1054115	Albany_bloodstream_usa	137	train	20260612
PRJNA1087366	nan	135	train	20260612
PRJNA246471	virginia_cpe	129	train	20260612
PRJNA648389	texan_esbl	126	train	20260612
PRJEB58136	nan	112	train	20260612
PRJNA820335	Clinical CR-hvKP ST11 strains collection	110	train	20260612
PRJEB74083	nan	106	train	20260612
PRJNA271899	cpe_surveillance_five_us_hospitals	104	train	20260612
PRJEB1800	nepal_hospital_outbreak	89	train	20260612
PRJNA351909	melb_surveillance	16	train	20260612
PRJNA475751	pittsburgh_edshat		train	20260612
PRJNA564992	canada_esbl		train	20260612
PRJNA789565	michigan_matched_colonising_infecting		train	20260612
PRJEB74192	One Health Norway	3255	val	20260612
PRJNA857686	nevada_health_lab	1345	val	20260612
PRJEB17615	Philipines_network	1290	val	20260612
PRJDB10842	enterobacterales_japan	1240	val	20260612
PRJEB29740	indian_cpe_surveillance	1072	val	20260612
PRJEB50614	indian_cpe_surveillance	1072	val	20260612
PRJNA604975	oxfordshire_bsi_surveillance	886	val	20260612
PRJNA768622	Manchester_TRACE	769	val	20260612
PRJNA564424	Manchester_TRACE	569	val	20260612
PRJNA686897	chigago_cpe_ndm	486	val	20260612
PRJEB36683	CC14 KP clone	457	val	20260612
PRJEB29742	columbia_cpe_surveillance	425	val	20260612
PRJNA557275	columbia_irvine_polymyxin_resistance	388	val	20260612
PRJEB50822	Spain CPK	336	val	20260612
PRJNA996149	Cefiderocol_CRE_China	320	val	20260612
PRJEB39943	CCRE survey	313	val	20260612
PRJEB42331	dutch_cpe_surveillance	307	val	20260612
PRJEB15226	cenre-sepcific typing	288	val	20260612
PRJNA855907	canadian_blaoxa48	270	val	20260612
PRJDB12075	Desinfectant susceptibility	241	val	20260612
PRJNA765801	CPK Enterobacteriales	213	val	20260612
PRJEB36486	malawi_colonisation_dynamics	203	val	20260612
PRJEB1563	invasive_kilifi	198	val	20260612
PRJNA396774	ml_predict_mic	177	val	20260612
PRJNA395086	aminoglycoside_resistance	166	val	20260612
PRJEB39293	maternal_amr_low_income_countrie	158	val	20260612
PRJNA835677	aerobactin in pigs	150	val	20260612
PRJNA646358	Cietnamise ICUs	141	val	20260612
PRJNA885285	Cambodia_MDRE	130	val	20260612
PRJNA978102	boston_bsis	108	val	20260612
PRJNA641987	subsaharan_neonatal_outbreak	16	val	20260612
