paper_title,paper_short_title,paper_link,Curator,kleb_assemblies_in_paper,isolates_in_study,study_accessions,sample_selection,death_metadata,newborn_cohort,ATB_location_prop,ATB_collection_date_prop,ATB_isolation_source_prop,ATB_host_prop,location_added,date_added,source_added,host_added,Outstanding issues with ready_to_merge file or checks of data,completeness_post_collation,metadata to check,Andres_to_chase,Free-text comments,has_AST_data,Isolation source details
Threshold-free genomic cluster detection to track transmission pathways in health-care settings: a genomic epidemiology analysis,transmission_cluster_detection_chicago,https://www.sciencedirect.com/science/article/pii/S266652472200115X?via%3Dihub#sec1,Aaron,462,435,PRJNA603790,AMR,,patient age not provided,1,1,0,1,,,TRUE,,yes,,,unlikely that they have the isolation source data,1-year intervention study to prevent Klebsiella colonisation (described elsewhere); rectal colonisation; multiple samples per patient but no supplementary table with patients,,
Clinical and Bacterial Characteristics Associated with Glove and Gown Contamination by Carbapenem-Resistant Klebsiella pneumoniae in the Health Care Setting,cpe_glove_and_gown,https://pubmed.ncbi.nlm.nih.gov/37289087/,Aaron,176,166,PRJNA633565,AMR,,patient age not provided,1,1,1,1,,,,,yes,,,,,,
Molecular and clinical epidemiology of carbapenem-resistant Enterobacterales in the USA (CRACKLE-2): a prospective cohort study; Clinical Outcomes and Bacterial Characteristics of Carbapenem-Resistant Klebsiella pneumoniae complex among Patients from Different Global Regions (CRACKLE-2): a Prospective Cohort Study,cpe_crackle2,https://pubmed.ncbi.nlm.nih.gov/32151332/ ; https://pmc.ncbi.nlm.nih.gov/articles/PMC8882129/,Aaron,2046,991+500 (the rest are other Enterobacteriacea),PRJNA658369,AMR,Includes mortality,"Adults aged 50-75, age info summarized in table 1, sample level age info not provided",1,1,1,1,,,,,yes,,,,"Patients hospitalized in 49 US hospitals, with clinical cultures positive for CDC-defined CRE between 30 April 2016 and 31 August 2017; DOOR outcome data should be available but not included; location is not included but data on hospital level should exist; global and US version of CRACKLE-2",,
Genomic characterizations of Klebsiella variicola: emerging pathogens identified from sepsis patients in Ethiopian referral hospitals,ethiopian_klebsiella,https://www.tandfonline.com/doi/full/10.1080/22221751.2024.2440494; https://pmc.ncbi.nlm.nih.gov/articles/PMC9380574/,Aaron,190,177,PRJNA787062,surveillance,,"Neonate, children, and adults",1,1,1,1,,,,,yes,,,,K. varicola targeted in one study,,
Competitive Transmission of Carbapenem-Resistant Klebsiella pneumoniae in a Newly Opened Intensive Care Unit,new_chinese_neuro_icu,https://pmc.ncbi.nlm.nih.gov/articles/PMC9764986/,Aaron,146,143,PRJNA839691,AMR,,patient age not provided,1,1,1,0.32876712,,,,,all samples with host NA are from the clinic environment,,,,all information available on the ENA but more details in supplement e.g. SAMN28546322: Mouse and keyboard has Surface noted on the ENA,,
Escalating carbapenem-resistant Klebsiella burden and mortality in Bangladeshi infants,bangladesh_child_heatlh_research_foundation,https://www.medrxiv.org/content/10.1101/2025.06.11.25329357v1.full,Aaron,565,599,PRJNA845975,surveillance,Includes mortality,"Neonates, age info summarized in table S1, sample level age info not provided",0.96,1,0,0,,,TRUE,TRUE,yes,,,all from blood cultures; potentially for outcome data,detailed diagnosis and outcome data mentioned in supplementary material,,
Risk of death in Klebsiella pneumoniae bloodstream infections is associated with specific phylogenetic lineages,death_risk_bsis,https://www.sciencedirect.com/science/article/pii/S0163445324000896#sec0105,Aaron/David,1085,1088,PRJEB48268,surveillance,Includes mortality,"Adults of 60+ years old, age info summarized in table S6 and text, sample level age data not provided",1,1,1,0,,,,human,yes,,,,"Blood stream.  The paper describes a 'primary_infection_source' as urine / lung / other and regression against 30 day mortality, but patient level metadata for these outcomes is not provided",yes,"Blood stream.  The paper describes a 'primary_infection_source' as urine / lung / other and regression against 30 day mortality, but patient level metadata for these outcomes is not provided"
Unpublished,cpe_south_africa,https://www.ncbi.nlm.nih.gov/bioproject/?term=PRJEB63361,Aaron,412,412,PRJEB63361,AMR,,Mix of adults and paeds but don't have age data,1,1,1,0,,,,TRUE,"DA added human.  South African, mix adults, paeds, but we don't have any age data",,,,,,
Unpublished,finnish_benin_vaccine_trial,-,Aaron,,300,PRJEB53835,AMR,,unclear,0,0,0,0,FALSE,TRUE,TRUE,TRUE,"mid point collection date added, host human and isolation source stool.",,,,,,
"Plasmid genomic epidemiology of carbapenem-hydrolysing class D β-lactamase (CDHL)-producing Enterobacterales in Canada, 2010−2021",canadian_blaoxa48,https://pmc.ncbi.nlm.nih.gov/articles/PMC11261825/,Aaron,249,270,PRJNA855907,AMR,,patient age not provided,1,1,0.97,1,,,,,,,,,,no,
